#Summary : 
#Best fitness Pop 1;0.800412
#Best fitness Pop 2;0.800412
#Std deviation Pop 1;0.0335116
#Std deviation Pop 2;0.0437944
#Sensitivity;0.0847506
#Specificity;0.947169
#Accuracy;0.818509
#PPV;0.326866
#RMSE;0.321186
#RRSE;1.17598
#RAE;1.0079
#MSE;0.121384
#ADM;0.407766
#MDM;0.367211
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_ad_17b_d is MF 0 AND ccr_sa_thb_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1 AND 4_Obese is MF 1
 IF ccr_zoa_dhf_d is MF 2 AND ccr_zob_dhf_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 0
 IF ccr_b_cortolone_d is MF 0 AND ccr_thaldo_d is MF 0 THEN 2_Normal is MF 1 AND 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_cortisone_d is MF 1 AND ccr_dha_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 1
 IF ccr_thaldo_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_s_ad_17b_d (131.948 , 145.105 , 149.89) ; ccr_dha_d (138.477 , 193.721 , 875.064) ; ccr_sa_thb_d (0.0970792 , 0.0970792 , 271.562) ; ccr_thaldo_d (2.56697 , 8.5052 , 10.626) ; ccr_cortisone_d (17.3494 , 25.1134 , 65.4862) ; ccr_b_cortolone_d (10.8153 , 297.617 , 363.271) ; ccr_zoa_dhf_d (52.7224 , 53.7593 , 55.8333) ; ccr_zob_dhf_d (132.029 , 437.312 , 476.45) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.766036; 0.673092; 0.175309; 0.821448; 0.805655; 0.103198;0.38095
2; 0.770347; 0.669997; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
3; 0.783867; 0.628487; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.793442; 0.677514; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
5; 0.793442; 0.675186; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
6; 0.786552; 0.678311; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
7; 0.793625; 0.671581; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
8; 0.793625; 0.668333; 0.3736; 0.639015; 0.754756; 0.171714;0.331208
9; 0.794284; 0.676228; 0.3736; 0.639015; 0.754756; 0.171714;0.331208
10; 0.795423; 0.66817; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
11; 0.79461; 0.682074; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
12; 0.79461; 0.680319; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
13; 0.79461; 0.714311; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
14; 0.79461; 0.687714; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
15; 0.79461; 0.684832; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
16; 0.79461; 0.698889; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
17; 0.794623; 0.678825; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
18; 0.794645; 0.679318; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
19; 0.794645; 0.690776; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
20; 0.794645; 0.692201; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
21; 0.795255; 0.695507; 0.171852; 0.836018; 0.81054; 0.106912;0.326736
22; 0.795255; 0.702743; 0.171852; 0.836018; 0.81054; 0.106912;0.326736
23; 0.795255; 0.698794; 0.196543; 0.801166; 0.806684; 0.103916;0.326142
24; 0.797666; 0.711576; 0.196543; 0.801166; 0.806684; 0.103916;0.326142
25; 0.797666; 0.706878; 0.196543; 0.801166; 0.806684; 0.103916;0.326142
26; 0.797666; 0.714809; 0.182716; 0.80429; 0.801285; 0.10068;0.325664
27; 0.797756; 0.712303; 0.182716; 0.80429; 0.801285; 0.10068;0.325664
28; 0.797756; 0.711323; 0.197037; 0.800694; 0.806941; 0.103636;0.325128
29; 0.797756; 0.751431; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
30; 0.797756; 0.728463; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
31; 0.797664; 0.766853; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
32; 0.797656; 0.764526; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
33; 0.797628; 0.763139; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
34; 0.797656; 0.761931; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
35; 0.798354; 0.75988; 0.190617; 0.802838; 0.804627; 0.102523;0.3249
36; 0.798377; 0.765578; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
37; 0.798377; 0.768454; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
38; 0.798377; 0.768693; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
39; 0.798377; 0.765932; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
40; 0.798377; 0.761499; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
41; 0.798377; 0.766607; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
42; 0.798377; 0.762075; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
43; 0.798377; 0.756479; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
44; 0.798377; 0.756945; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
45; 0.798377; 0.757679; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
46; 0.798377; 0.767136; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
47; 0.798377; 0.759684; 0.195368; 0.803532; 0.807198; 0.170487;0.324493
48; 0.798377; 0.763474; 0.195368; 0.803532; 0.807198; 0.170487;0.324493
49; 0.798377; 0.758367; 0.195368; 0.803532; 0.807198; 0.170487;0.324493
50; 0.798584; 0.756009; 0.195368; 0.803532; 0.807198; 0.170487;0.324485
51; 0.798584; 0.758084; 0.195368; 0.803532; 0.807198; 0.170487;0.324485
52; 0.798584; 0.760837; 0.195368; 0.803532; 0.807198; 0.170487;0.324485
53; 0.798584; 0.76282; 0.195368; 0.803532; 0.807198; 0.170487;0.324485
54; 0.798584; 0.768039; 0.195368; 0.803532; 0.807198; 0.170487;0.324485
55; 0.798584; 0.764324; 0.195368; 0.803532; 0.807198; 0.170487;0.324485
56; 0.798589; 0.767279; 0.15363; 0.855794; 0.809512; 0.190212;0.324474
57; 0.798589; 0.764175; 0.15363; 0.855794; 0.809512; 0.190212;0.324474
58; 0.798589; 0.765991; 0.15363; 0.855794; 0.809512; 0.190212;0.324474
59; 0.798675; 0.763242; 0.198074; 0.802174; 0.806941; 0.187164;0.32432
60; 0.798675; 0.762377; 0.198074; 0.802174; 0.806941; 0.187164;0.32432
61; 0.798675; 0.757384; 0.198074; 0.802174; 0.806941; 0.187164;0.32432
62; 0.79869; 0.762269; 0.194874; 0.804983; 0.807712; 0.203968;0.324293
63; 0.798692; 0.758719; 0.198074; 0.802174; 0.806941; 0.187164;0.324274
64; 0.798801; 0.761558; 0.198074; 0.802174; 0.806941; 0.187164;0.324092
65; 0.798801; 0.768184; 0.19758; 0.802174; 0.806684; 0.187037;0.324051
66; 0.798824; 0.722371; 0.19758; 0.802174; 0.806684; 0.187037;0.324051
67; 0.798824; 0.720407; 0.199506; 0.8; 0.807969; 0.10399;0.324039
68; 0.798824; 0.719251; 0.199506; 0.8; 0.807969; 0.10399;0.324039
69; 0.798824; 0.715551; 0.198519; 0.8; 0.807455; 0.103742;0.324026
70; 0.798824; 0.722444; 0.198825; 0.8; 0.807455; 0.303618;0.323984
71; 0.798828; 0.717595; 0.198825; 0.8; 0.807455; 0.303618;0.323984
72; 0.798868; 0.719095; 0.196849; 0.803911; 0.808226; 0.204199;0.323972
73; 0.798868; 0.720873; 0.196849; 0.803911; 0.808226; 0.204199;0.323972
74; 0.798868; 0.718488; 0.196849; 0.803911; 0.808226; 0.204199;0.323972
75; 0.798868; 0.720544; 0.196849; 0.803911; 0.808226; 0.204199;0.323972
76; 0.798868; 0.725938; 0.196849; 0.803911; 0.808226; 0.204199;0.323972
77; 0.798868; 0.727593; 0.170864; 0.855228; 0.819537; 0.112338;0.323665
78; 0.798868; 0.72386; 0.170864; 0.855228; 0.819537; 0.112338;0.323665
79; 0.798868; 0.723308; 0.170864; 0.855228; 0.819537; 0.112338;0.323665
80; 0.798859; 0.754948; 0.17037; 0.854156; 0.818766; 0.111831;0.323647
81; 0.799047; 0.722881; 0.199506; 0.8; 0.807969; 0.10399;0.321917
82; 0.799047; 0.728165; 0.199506; 0.8; 0.807969; 0.10399;0.321917
83; 0.799505; 0.72485; 0.199506; 0.8; 0.807969; 0.10399;0.321917
84; 0.799659; 0.722353; 0.199506; 0.8; 0.807969; 0.10399;0.321917
85; 0.79937; 0.717103; 0.199506; 0.8; 0.807969; 0.10399;0.321917
86; 0.799476; 0.717123; 0.199506; 0.8; 0.807969; 0.10399;0.321917
87; 0.79937; 0.711926; 0.199506; 0.8; 0.807969; 0.10399;0.321917
88; 0.799389; 0.709582; 0.199506; 0.8; 0.807969; 0.10399;0.321917
89; 0.799326; 0.710297; 0.199506; 0.8; 0.807969; 0.10399;0.321917
90; 0.799665; 0.708959; 0.199506; 0.8; 0.807969; 0.10399;0.321917
91; 0.799368; 0.70781; 0.199506; 0.8; 0.807969; 0.10399;0.321917
92; 0.799859; 0.71517; 0.199506; 0.8; 0.807969; 0.10399;0.321917
93; 0.799801; 0.71911; 0.199506; 0.8; 0.807969; 0.10399;0.321917
