#Summary : 
#Best fitness Pop 1;0.801863
#Best fitness Pop 2;0.801808
#Std deviation Pop 1;0.0416577
#Std deviation Pop 2;0.0315129
#Sensitivity;0.187654
#Specificity;0.844661
#Accuracy;0.823136
#PPV;0.113602
#RMSE;0.318573
#RRSE;1.15171
#RAE;0.964583
#MSE;0.119683
#ADM;0.386857
#MDM;0.216609
#Size;0.166667
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortolone_d is MF 2 AND ccr_sb_oh_f_d is MF 1 THEN 2_Normal is MF 0 AND 4_Obese is MF 1 AND 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 1
 IF  THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_b_cortolone_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_etio_d is MF 0 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0
 IF ccr_testosterone_d is MF 0 AND ccr_pd_d is MF 1 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (508.038 , 696.681 , 1039.67) ; ccr_testosterone_d (18.9919 , 19.4827 , 29.5436) ; ccr_pd_d (5.99925 , 76.1356 , 455.697) ; ccr_a_cortolone_d (36.8851 , 54.8349 , 431.779) ; ccr_b_cortolone_d (10.8153 , 370.182 , 408.191) ; ccr_sb_oh_f_d (0.794255 , 4.44283 , 34.1526) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.766036; 0.673092; 0.175309; 0.821448; 0.805655; 0.103198;0.38095
2; 0.770347; 0.669997; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
3; 0.783867; 0.628487; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.793442; 0.677514; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
5; 0.793442; 0.675186; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
6; 0.794532; 0.678244; 0.200612; 0.797727; 0.806684; 0.153866;0.331824
7; 0.794532; 0.683426; 0.200612; 0.797727; 0.806684; 0.153866;0.331824
8; 0.794532; 0.678364; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
9; 0.79461; 0.674372; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
10; 0.79461; 0.678992; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
11; 0.79461; 0.68157; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
12; 0.79461; 0.680691; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
13; 0.79461; 0.691625; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
14; 0.79461; 0.687333; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
15; 0.79461; 0.683513; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
16; 0.79461; 0.675856; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
17; 0.79461; 0.677647; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
18; 0.794625; 0.679254; 0.193699; 0.805077; 0.806684; 0.161015;0.331382
19; 0.794625; 0.689386; 0.193699; 0.805077; 0.806684; 0.161015;0.331382
20; 0.794625; 0.690812; 0.27441; 0.727484; 0.777121; 0.170368;0.330993
21; 0.794616; 0.693492; 0.27441; 0.727484; 0.777121; 0.170368;0.330993
22; 0.794989; 0.700733; 0.27441; 0.727484; 0.777121; 0.170368;0.330993
23; 0.795658; 0.697557; 0.186785; 0.810281; 0.805655; 0.169972;0.329779
24; 0.795658; 0.706876; 0.186785; 0.810281; 0.805655; 0.169972;0.329779
25; 0.795658; 0.702529; 0.186785; 0.810281; 0.805655; 0.169972;0.329779
26; 0.795664; 0.71148; 0.187773; 0.809745; 0.805913; 0.170096;0.329768
27; 0.795664; 0.709009; 0.187773; 0.809745; 0.805913; 0.170096;0.329768
28; 0.795664; 0.707773; 0.187773; 0.809745; 0.805913; 0.170096;0.329768
29; 0.795682; 0.713654; 0.187773; 0.809745; 0.805913; 0.170096;0.329736
30; 0.795682; 0.725122; 0.187773; 0.809461; 0.805656; 0.170096;0.328185
31; 0.795682; 0.734472; 0.187773; 0.809461; 0.805656; 0.170096;0.328153
32; 0.795728; 0.733398; 0.187773; 0.809461; 0.805656; 0.170096;0.328153
33; 0.796555; 0.733261; 0.187773; 0.809461; 0.805656; 0.170096;0.328153
34; 0.796555; 0.732474; 0.187773; 0.809461; 0.805656; 0.170096;0.328153
35; 0.796777; 0.729895; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
36; 0.796777; 0.737968; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
37; 0.796777; 0.737285; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
38; 0.796777; 0.739342; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
39; 0.796777; 0.740163; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
40; 0.796777; 0.736129; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
41; 0.79682; 0.74162; 0.19123; 0.80678; 0.80617; 0.17031;0.327674
42; 0.79682; 0.739843; 0.19123; 0.80678; 0.80617; 0.17031;0.327674
43; 0.79682; 0.733803; 0.19123; 0.80678; 0.80617; 0.17031;0.327674
44; 0.79682; 0.733749; 0.19123; 0.80678; 0.80617; 0.17031;0.327674
45; 0.79682; 0.734369; 0.19123; 0.80678; 0.80617; 0.17031;0.327674
46; 0.796842; 0.738684; 0.192711; 0.806244; 0.806684; 0.170559;0.327634
47; 0.7969; 0.735551; 0.191417; 0.807159; 0.806684; 0.153903;0.327529
48; 0.7969; 0.734671; 0.191417; 0.807159; 0.806684; 0.153903;0.327529
49; 0.796919; 0.731546; 0.191417; 0.807979; 0.807198; 0.154043;0.327495
50; 0.796919; 0.733078; 0.191417; 0.807979; 0.807198; 0.154043;0.327495
51; 0.797031; 0.739714; 0.190736; 0.807316; 0.80617; 0.17032;0.327291
52; 0.797031; 0.73877; 0.190736; 0.807316; 0.80617; 0.17032;0.327291
53; 0.797061; 0.741174; 0.204016; 0.805928; 0.807455; 0.270828;0.327237
54; 0.797061; 0.749135; 0.204016; 0.805928; 0.807455; 0.270828;0.327237
55; 0.797061; 0.745867; 0.204016; 0.805928; 0.807455; 0.270828;0.327237
56; 0.797061; 0.746982; 0.204016; 0.805928; 0.807455; 0.270828;0.327237
57; 0.797075; 0.741565; 0.192711; 0.80678; 0.806941; 0.170699;0.327212
58; 0.797075; 0.743065; 0.192711; 0.80678; 0.806941; 0.170699;0.327212
59; 0.797075; 0.739498; 0.192711; 0.80678; 0.806941; 0.170699;0.327212
60; 0.797121; 0.741222; 0.19123; 0.80678; 0.80617; 0.17031;0.32713
61; 0.797121; 0.736489; 0.19123; 0.80678; 0.80617; 0.17031;0.32713
62; 0.797121; 0.742912; 0.19123; 0.80678; 0.80617; 0.17031;0.32713
63; 0.797121; 0.734088; 0.19123; 0.80678; 0.80617; 0.17031;0.32713
64; 0.797124; 0.737927; 0.19123; 0.80678; 0.80617; 0.17031;0.327125
65; 0.79717; 0.74642; 0.186785; 0.809997; 0.805398; 0.169972;0.327041
66; 0.79717; 0.742174; 0.186785; 0.809997; 0.805398; 0.169972;0.327041
67; 0.79717; 0.741122; 0.186785; 0.809997; 0.805398; 0.169972;0.327041
68; 0.79717; 0.739749; 0.186785; 0.809997; 0.805398; 0.169972;0.327041
69; 0.79717; 0.739243; 0.186785; 0.809997; 0.805398; 0.169972;0.327041
70; 0.79717; 0.745074; 0.186785; 0.809997; 0.805398; 0.169972;0.327041
71; 0.797171; 0.740188; 0.184316; 0.811069; 0.804627; 0.169587;0.327039
72; 0.797171; 0.738741; 0.184316; 0.811069; 0.804627; 0.169587;0.327039
73; 0.797171; 0.738375; 0.184316; 0.811069; 0.804627; 0.169587;0.327039
74; 0.797171; 0.732421; 0.184316; 0.811069; 0.804627; 0.169587;0.327039
75; 0.797501; 0.737503; 0.187773; 0.809461; 0.805656; 0.170096;0.326442
76; 0.797627; 0.741625; 0.190736; 0.807852; 0.806427; 0.170461;0.326214
77; 0.797627; 0.743032; 0.190736; 0.807852; 0.806427; 0.170461;0.326214
78; 0.797627; 0.740945; 0.190736; 0.807852; 0.806427; 0.170461;0.326214
79; 0.797656; 0.742911; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
80; 0.797656; 0.744799; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
81; 0.797656; 0.744403; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
82; 0.797656; 0.745491; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
83; 0.797656; 0.739758; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
84; 0.797656; 0.735903; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
85; 0.797656; 0.732054; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
86; 0.797656; 0.731113; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
87; 0.797656; 0.721725; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
88; 0.797656; 0.714849; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
89; 0.797656; 0.717296; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
90; 0.797656; 0.714353; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
91; 0.797656; 0.717948; 0.19123; 0.807852; 0.806684; 0.170591;0.326161
92; 0.79766; 0.721186; 0.19123; 0.807852; 0.806684; 0.170591;0.326154
93; 0.79766; 0.722395; 0.191723; 0.808388; 0.807198; 0.170862;0.326151
94; 0.79766; 0.727753; 0.191723; 0.808388; 0.807198; 0.170862;0.326151
95; 0.79766; 0.727708; 0.191723; 0.808388; 0.807198; 0.170862;0.326151
