#Summary : 
#Best fitness Pop 1;0.801378
#Best fitness Pop 2;0.801391
#Std deviation Pop 1;0.0499404
#Std deviation Pop 2;0.0294138
#Sensitivity;0.174183
#Specificity;0.872479
#Accuracy;0.828278
#PPV;0.238685
#RMSE;0.319422
#RRSE;1.12149
#RAE;0.906766
#MSE;0.119397
#ADM;0.415818
#MDM;0.213447
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_pt_one_d is MF 2 AND ccr_llb_oh_andro_d is MF 0 THEN 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_thf_d is MF 1 AND ccr_thb_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0 AND 4_Obese is MF 1
 IF ccr_cortisone_d is MF 0 AND ccr_l6a_oh_dha_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_s_ad_17b_d is MF 0 THEN 2_Normal is MF 1 AND 3_Surpoid is MF 0
 IF ccr_estriol_d is MF 2 AND ccr_s_at_d is MF 2 THEN 4_Obese is MF 0 AND 2_Normal is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_s_ad_17b_d (84.1017 , 111.613 , 130.751) ; ccr_s_at_d (7.63758 , 50.5144 , 129.122) ; ccr_estriol_d (2.19678 , 2.19678 , 12.1469) ; ccr_l6a_oh_dha_d (13.662 , 110.243 , 156.548) ; ccr_thb_d (24.018 , 38.5416 , 133.504) ; ccr_pt_one_d (50.3877 , 63.5078 , 70.0679) ; ccr_thf_d (98.0066 , 403.483 , 446.609) ; ccr_llb_oh_andro_d (148.761 , 211.663 , 218.652) ; ccr_cortisone_d (8.55022 , 32.8774 , 52.0286) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.766036; 0.673092; 0.175309; 0.821448; 0.805655; 0.103198;0.38095
2; 0.770347; 0.669997; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
3; 0.783867; 0.628487; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.793442; 0.677514; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
5; 0.793442; 0.675186; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
6; 0.794532; 0.678244; 0.200612; 0.797727; 0.806684; 0.153866;0.331824
7; 0.794532; 0.683426; 0.200612; 0.797727; 0.806684; 0.153866;0.331824
8; 0.794532; 0.678364; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
9; 0.79461; 0.674372; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
10; 0.79461; 0.678992; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
11; 0.79461; 0.68157; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
12; 0.79461; 0.680691; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
13; 0.79461; 0.691659; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
14; 0.79461; 0.68708; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
15; 0.79461; 0.683665; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
16; 0.79461; 0.676235; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
17; 0.79461; 0.678713; 0.200612; 0.798106; 0.806941; 0.161009;0.331681
18; 0.794625; 0.67908; 0.193699; 0.805077; 0.806684; 0.161015;0.331382
19; 0.794625; 0.690285; 0.193699; 0.805077; 0.806684; 0.161015;0.331382
20; 0.794625; 0.691753; 0.27441; 0.727484; 0.777121; 0.170368;0.330993
21; 0.794616; 0.695246; 0.27441; 0.727484; 0.777121; 0.170368;0.330993
22; 0.794989; 0.702444; 0.27441; 0.727484; 0.777121; 0.170368;0.330993
23; 0.795658; 0.697804; 0.186785; 0.810281; 0.805655; 0.169972;0.329779
24; 0.795658; 0.707694; 0.186785; 0.810281; 0.805655; 0.169972;0.329779
25; 0.795658; 0.702559; 0.186785; 0.810281; 0.805655; 0.169972;0.329779
26; 0.795664; 0.711398; 0.187773; 0.809745; 0.805913; 0.170096;0.329768
27; 0.795664; 0.708972; 0.187773; 0.809745; 0.805913; 0.170096;0.329768
28; 0.795664; 0.707466; 0.187773; 0.809745; 0.805913; 0.170096;0.329768
29; 0.795682; 0.713271; 0.187773; 0.809461; 0.805656; 0.170096;0.328185
30; 0.795682; 0.725115; 0.187773; 0.809461; 0.805656; 0.170096;0.328185
31; 0.795682; 0.73484; 0.187773; 0.809461; 0.805656; 0.170096;0.328153
32; 0.796555; 0.733902; 0.187773; 0.809461; 0.805656; 0.170096;0.328153
33; 0.796555; 0.733284; 0.187773; 0.809461; 0.805656; 0.170096;0.328153
34; 0.796555; 0.732313; 0.187773; 0.809461; 0.805656; 0.170096;0.328153
35; 0.796777; 0.731008; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
36; 0.796777; 0.739631; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
37; 0.796777; 0.739059; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
38; 0.796777; 0.741293; 0.190736; 0.807316; 0.80617; 0.17032;0.327752
39; 0.797003; 0.741454; 0.194193; 0.804919; 0.806941; 0.170528;0.327343
40; 0.797003; 0.736941; 0.194193; 0.804919; 0.806941; 0.170528;0.327343
41; 0.797003; 0.742536; 0.194193; 0.804919; 0.806941; 0.170528;0.327343
42; 0.797003; 0.74088; 0.194193; 0.804919; 0.806941; 0.170528;0.327343
43; 0.797003; 0.733848; 0.194193; 0.804919; 0.806941; 0.170528;0.327343
44; 0.797003; 0.735103; 0.194193; 0.804919; 0.806941; 0.170528;0.327343
45; 0.797003; 0.734988; 0.194193; 0.804919; 0.806941; 0.170528;0.327343
46; 0.79701; 0.739312; 0.192899; 0.805834; 0.806941; 0.153872;0.32733
47; 0.79703; 0.738334; 0.194193; 0.804383; 0.806684; 0.17039;0.327294
48; 0.79703; 0.736478; 0.194193; 0.804383; 0.806684; 0.17039;0.327294
49; 0.79703; 0.73448; 0.194193; 0.804383; 0.806684; 0.17039;0.327294
50; 0.79703; 0.735283; 0.194193; 0.804383; 0.806684; 0.17039;0.327294
51; 0.79703; 0.741436; 0.194193; 0.804383; 0.806684; 0.17039;0.327294
52; 0.79703; 0.740346; 0.194193; 0.804383; 0.806684; 0.17039;0.327294
53; 0.797031; 0.743259; 0.189254; 0.809745; 0.806684; 0.170492;0.327293
54; 0.797031; 0.748732; 0.189254; 0.809745; 0.806684; 0.170492;0.327293
55; 0.797031; 0.747312; 0.189254; 0.809745; 0.806684; 0.170492;0.327293
56; 0.797031; 0.748086; 0.189254; 0.809745; 0.806684; 0.170492;0.327293
57; 0.797031; 0.742955; 0.189254; 0.809745; 0.806684; 0.170492;0.327293
58; 0.797079; 0.742675; 0.189254; 0.807064; 0.805398; 0.169787;0.327206
59; 0.797079; 0.738658; 0.189254; 0.807064; 0.805398; 0.169787;0.327206
60; 0.797079; 0.740618; 0.189254; 0.807064; 0.805398; 0.169787;0.327206
61; 0.797079; 0.735389; 0.189254; 0.807064; 0.805398; 0.169787;0.327206
62; 0.797162; 0.741649; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
63; 0.797162; 0.733103; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
64; 0.797162; 0.736411; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
65; 0.797162; 0.745057; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
66; 0.797162; 0.740553; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
67; 0.797162; 0.739283; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
68; 0.797162; 0.738282; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
69; 0.797162; 0.738638; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
70; 0.797162; 0.744727; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
71; 0.797162; 0.742553; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
72; 0.797162; 0.74089; 0.187279; 0.809209; 0.805398; 0.169822;0.327056
73; 0.797278; 0.742233; 0.187773; 0.809209; 0.805655; 0.169954;0.326845
74; 0.797278; 0.736663; 0.187773; 0.809209; 0.805655; 0.169954;0.326845
75; 0.797278; 0.741186; 0.187773; 0.809209; 0.805655; 0.169954;0.326845
76; 0.797278; 0.743845; 0.187773; 0.809209; 0.805655; 0.169954;0.326845
77; 0.797278; 0.745202; 0.187773; 0.809209; 0.805655; 0.169954;0.326845
78; 0.797278; 0.741747; 0.187773; 0.809209; 0.805655; 0.169954;0.326845
79; 0.797278; 0.744308; 0.187773; 0.809209; 0.805655; 0.169954;0.326845
80; 0.797278; 0.747275; 0.250133; 0.791351; 0.805141; 0.1935;0.32609
81; 0.797278; 0.747271; 0.295921; 0.778649; 0.808226; 0.198842;0.325987
82; 0.797228; 0.747683; 0.275615; 0.785093; 0.807455; 0.19652;0.325788
83; 0.797228; 0.743672; 0.275615; 0.785093; 0.807455; 0.19652;0.325788
84; 0.797142; 0.736721; 0.275615; 0.785093; 0.807455; 0.19652;0.325788
85; 0.797862; 0.731461; 0.275615; 0.785093; 0.807455; 0.19652;0.325788
86; 0.797862; 0.75116; 0.275615; 0.785093; 0.807455; 0.19652;0.325788
87; 0.797862; 0.721683; 0.275615; 0.785093; 0.807455; 0.19652;0.325788
88; 0.798019; 0.715737; 0.238252; 0.803595; 0.808483; 0.196002;0.325505
89; 0.798019; 0.745956; 0.238252; 0.803595; 0.808483; 0.196002;0.325505
90; 0.798537; 0.715561; 0.210795; 0.817423; 0.808997; 0.198444;0.324569
91; 0.798537; 0.717995; 0.210795; 0.817423; 0.808997; 0.198444;0.324569
92; 0.798537; 0.721321; 0.210795; 0.817423; 0.808997; 0.198444;0.324569
93; 0.798537; 0.723435; 0.274785; 0.784975; 0.811311; 0.198954;0.324024
