#Summary : 
#Best fitness Pop 1;0.801537
#Best fitness Pop 2;0.801664
#Std deviation Pop 1;0.056468
#Std deviation Pop 2;0.0132509
#Sensitivity;0.149867
#Specificity;0.904021
#Accuracy;0.831362
#PPV;0.32479
#RMSE;0.318796
#RRSE;0.901425
#RAE;0.641013
#MSE;0.118259
#ADM;0.447703
#MDM;0.351076
#Size;0.166667
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sb_oh_f_d is MF 0 AND ccr_s_at_d is MF 0 AND ccr_etio_d is MF 0 THEN 4_Obese is MF 0 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_testosterone_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1 AND 1_SousPoid is MF 1
 IF  THEN 3_Surpoid is MF 1 AND 1_SousPoid is MF 1 AND 2_Normal is MF 0
 IF ccr_b_cortolone_d is MF 0 THEN 3_Surpoid is MF 0
 IF ccr_thf_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (19.2827 , 362.269 , 422.292) ; ccr_s_at_d (26.694 , 212.494 , 255.371) ; ccr_testosterone_d (7.9495 , 21.9366 , 23.8997) ; ccr_thf_d (36.9113 , 205.822 , 331.606) ; ccr_b_cortolone_d (24.6371 , 114.479 , 283.795) ; ccr_sb_oh_f_d (3.40038 , 34.1526 , 49.2682) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.766036; 0.673092; 0.175309; 0.821448; 0.805655; 0.103198;0.38095
2; 0.770347; 0.669997; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
3; 0.783867; 0.628487; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.793442; 0.677514; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
5; 0.793442; 0.675186; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
6; 0.786552; 0.678311; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
7; 0.793625; 0.671581; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
8; 0.793625; 0.668333; 0.3736; 0.639015; 0.754756; 0.171714;0.331208
9; 0.794284; 0.676228; 0.3736; 0.639015; 0.754756; 0.171714;0.331208
10; 0.795423; 0.66817; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
11; 0.795423; 0.671598; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
12; 0.79461; 0.680328; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
13; 0.794818; 0.682534; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
14; 0.794818; 0.679045; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
15; 0.79461; 0.684911; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
16; 0.794492; 0.668604; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
17; 0.796816; 0.67085; 0.255931; 0.751515; 0.792802; 0.17613;0.327681
18; 0.796816; 0.669971; 0.203812; 0.798042; 0.807712; 0.189849;0.325948
19; 0.795172; 0.682082; 0.203812; 0.798042; 0.807712; 0.189849;0.325948
20; 0.795265; 0.68298; 0.203812; 0.798042; 0.807712; 0.189849;0.325948
21; 0.79451; 0.672176; 0.199506; 0.801072; 0.808483; 0.104258;0.32587
22; 0.797768; 0.709087; 0.199506; 0.801072; 0.808483; 0.104258;0.32587
23; 0.797768; 0.714252; 0.199506; 0.801072; 0.808483; 0.104258;0.325818
24; 0.797846; 0.708187; 0.199506; 0.801072; 0.808483; 0.104258;0.325818
25; 0.797846; 0.705946; 0.2; 0.800536; 0.808483; 0.104247;0.325741
26; 0.797846; 0.7136; 0.2; 0.800536; 0.808483; 0.104247;0.325741
27; 0.797846; 0.712737; 0.2; 0.800536; 0.808483; 0.104247;0.325689
28; 0.797846; 0.712845; 0.2; 0.800536; 0.808483; 0.104247;0.325689
29; 0.797846; 0.716428; 0.2; 0.800536; 0.808483; 0.104247;0.325689
30; 0.797847; 0.724806; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
31; 0.797847; 0.733849; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
32; 0.797847; 0.732513; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
33; 0.797847; 0.733085; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
34; 0.797847; 0.734477; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
35; 0.797847; 0.734491; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
36; 0.797847; 0.736858; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
37; 0.797847; 0.734198; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
38; 0.797847; 0.741442; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
39; 0.797918; 0.737833; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
40; 0.797918; 0.735958; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
41; 0.797918; 0.738814; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
42; 0.797918; 0.740216; 0.2008; 0.800536; 0.80874; 0.304247;0.325688
43; 0.797918; 0.732471; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
44; 0.797918; 0.730219; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
45; 0.797918; 0.733974; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
46; 0.797918; 0.738923; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
47; 0.797918; 0.73712; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
48; 0.797918; 0.737804; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
49; 0.797918; 0.735313; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
50; 0.797918; 0.734145; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
51; 0.797918; 0.736351; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
52; 0.797918; 0.736883; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
53; 0.797918; 0.738086; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
54; 0.797918; 0.741163; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
55; 0.797918; 0.738361; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
56; 0.797918; 0.738365; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
57; 0.797918; 0.733739; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
58; 0.797918; 0.7307; 0.2008; 0.800536; 0.80874; 0.304247;0.325687
59; 0.797918; 0.725561; 0.196849; 0.809115; 0.810797; 0.305445;0.325581
60; 0.797918; 0.725502; 0.196849; 0.809115; 0.810797; 0.305445;0.325581
61; 0.797918; 0.710328; 0.199319; 0.80697; 0.811054; 0.305512;0.325569
62; 0.797918; 0.714355; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
63; 0.797918; 0.725621; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
64; 0.797918; 0.724602; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
65; 0.797918; 0.729838; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
66; 0.797919; 0.728711; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
67; 0.797919; 0.728633; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
68; 0.797994; 0.725978; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
69; 0.797994; 0.722425; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
70; 0.797994; 0.726412; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
71; 0.797994; 0.721471; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
72; 0.797994; 0.721118; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
73; 0.797994; 0.727487; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
74; 0.797994; 0.723793; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
75; 0.797994; 0.726206; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
76; 0.797994; 0.731963; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
77; 0.797994; 0.732985; 0.199319; 0.80697; 0.811054; 0.305512;0.325551
78; 0.798029; 0.730124; 0.193086; 0.810724; 0.809769; 0.105108;0.325487
79; 0.798085; 0.737284; 0.194074; 0.809115; 0.809512; 0.10494;0.325386
80; 0.798084; 0.729703; 0.194074; 0.809115; 0.809512; 0.10494;0.325386
81; 0.798186; 0.726398; 0.194074; 0.809651; 0.809769; 0.10508;0.325203
82; 0.798211; 0.740407; 0.194568; 0.809115; 0.809769; 0.105067;0.325158
83; 0.798211; 0.737524; 0.194568; 0.809115; 0.809769; 0.105067;0.325158
84; 0.798211; 0.736872; 0.194568; 0.809115; 0.809769; 0.105067;0.325158
85; 0.798211; 0.733192; 0.194568; 0.809115; 0.809769; 0.105067;0.325158
86; 0.798211; 0.734928; 0.198519; 0.805898; 0.810283; 0.105236;0.324935
87; 0.798216; 0.729569; 0.198519; 0.805898; 0.810283; 0.105236;0.324935
88; 0.798249; 0.728949; 0.198519; 0.805898; 0.810283; 0.105236;0.324935
89; 0.798334; 0.732103; 0.198519; 0.805898; 0.810283; 0.105236;0.324935
90; 0.798334; 0.72732; 0.196049; 0.808579; 0.810283; 0.105305;0.324686
91; 0.798334; 0.730796; 0.196049; 0.808579; 0.810283; 0.105305;0.324686
92; 0.798334; 0.732397; 0.199506; 0.805362; 0.81054; 0.105346;0.324482
93; 0.798334; 0.737353; 0.199506; 0.805362; 0.81054; 0.105346;0.324482
94; 0.798334; 0.739688; 0.199506; 0.805362; 0.81054; 0.105346;0.324482
95; 0.798334; 0.738913; 0.199506; 0.805362; 0.81054; 0.105346;0.324482
