#Summary : 
#Best fitness Pop 1;0.799208
#Best fitness Pop 2;0.799214
#Std deviation Pop 1;0.0424579
#Std deviation Pop 2;0.0502906
#Sensitivity;0.192405
#Specificity;0.806056
#Accuracy;0.806941
#PPV;0.203605
#RMSE;0.323284
#RRSE;0.9002
#RAE;0.643874
#MSE;0.122537
#ADM;0.395455
#MDM;0.417517
#Size;0.111111
#OverLearn;0.666667

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_pt_d is MF 2 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_zoa_dhf_d is MF 0 AND ccr_sb_oh_f_d is MF 2 AND ccr_zob_dhe_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 0
 IF ccr_saad3a17b_d is MF 0 AND ccr_thaldo_d is MF 0 THEN 2_Normal is MF 1 AND 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_cortisone_d is MF 1 AND ccr_sa_thf_d is MF 0 THEN 2_Normal is MF 1
 IF ccr_thaldo_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_saad3a17b_d (19.4713 , 22.2141 , 76.3858) ; ccr_thaldo_d (2.56697 , 8.08104 , 8.5052) ; ccr_pt_d (32.1196 , 86.7403 , 327.982) ; ccr_sa_thf_d (125.074 , 129.836 , 429.859) ; ccr_cortisone_d (20.455 , 23.043 , 67.039) ; ccr_sb_oh_f_d (52.3955 , 60.7351 , 61.7776) ; ccr_zoa_dhf_d (3.46586 , 52.2039 , 58.4258) ; ccr_zob_dhe_d (0.53391 , 11.3668 , 19.4511) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.766036; 0.673092; 0.175309; 0.821448; 0.805655; 0.103198;0.38095
2; 0.770347; 0.669997; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
3; 0.783867; 0.628487; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.793442; 0.677514; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
5; 0.793442; 0.675186; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
6; 0.786552; 0.678311; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
7; 0.793625; 0.671581; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
8; 0.793625; 0.668333; 0.3736; 0.639015; 0.754756; 0.171714;0.331208
9; 0.794284; 0.676228; 0.3736; 0.639015; 0.754756; 0.171714;0.331208
10; 0.795423; 0.66817; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
11; 0.79461; 0.682074; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
12; 0.79461; 0.680319; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
13; 0.79461; 0.692056; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
14; 0.79461; 0.713791; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
15; 0.79461; 0.68468; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
16; 0.79461; 0.697555; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
17; 0.794623; 0.67775; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
18; 0.794645; 0.679484; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
19; 0.794645; 0.689861; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
20; 0.794645; 0.691255; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
21; 0.795255; 0.693764; 0.171852; 0.836018; 0.81054; 0.106912;0.326736
22; 0.795255; 0.701052; 0.171852; 0.836018; 0.81054; 0.106912;0.326736
23; 0.795255; 0.698461; 0.196543; 0.801166; 0.806684; 0.103916;0.326142
24; 0.797666; 0.711192; 0.196543; 0.801166; 0.806684; 0.103916;0.326142
25; 0.797666; 0.706082; 0.196543; 0.801166; 0.806684; 0.103916;0.326142
26; 0.797666; 0.714394; 0.182716; 0.80429; 0.801285; 0.10068;0.325664
27; 0.797756; 0.712306; 0.182716; 0.80429; 0.801285; 0.10068;0.325664
28; 0.797756; 0.711323; 0.197037; 0.800694; 0.806941; 0.103636;0.325128
29; 0.797756; 0.751435; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
30; 0.797756; 0.760938; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
31; 0.797664; 0.766851; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
32; 0.797656; 0.764522; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
33; 0.797628; 0.763137; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
34; 0.797656; 0.761928; 0.190617; 0.802838; 0.804627; 0.102523;0.32491
35; 0.797727; 0.760133; 0.190617; 0.802838; 0.804627; 0.102523;0.3249
36; 0.798377; 0.768838; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
37; 0.798377; 0.764971; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
38; 0.798377; 0.772463; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
39; 0.798377; 0.765932; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
40; 0.798377; 0.761499; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
41; 0.798377; 0.766607; 0.199506; 0.799621; 0.807712; 0.10399;0.324858
42; 0.798377; 0.762075; 0.200306; 0.8; 0.808226; 0.30399;0.324597
43; 0.798377; 0.759229; 0.200306; 0.8; 0.808226; 0.30399;0.324597
44; 0.798377; 0.756945; 0.200306; 0.8; 0.808226; 0.30399;0.324597
45; 0.798377; 0.760667; 0.200306; 0.8; 0.808226; 0.30399;0.324597
46; 0.798377; 0.763447; 0.200306; 0.8; 0.808226; 0.30399;0.324597
47; 0.798377; 0.759684; 0.200306; 0.8; 0.808226; 0.30399;0.324582
48; 0.798377; 0.759838; 0.200306; 0.8; 0.808226; 0.30399;0.324582
49; 0.79853; 0.762098; 0.198025; 0.802838; 0.808483; 0.104427;0.324497
50; 0.798577; 0.756146; 0.198025; 0.802838; 0.808483; 0.104427;0.324497
51; 0.798577; 0.758266; 0.198025; 0.802838; 0.808483; 0.104427;0.324497
52; 0.798577; 0.760992; 0.198025; 0.802838; 0.808483; 0.104427;0.324497
53; 0.798636; 0.763107; 0.200306; 0.799621; 0.807969; 0.20399;0.32439
54; 0.798636; 0.768362; 0.200306; 0.799621; 0.807969; 0.20399;0.32439
55; 0.798636; 0.764873; 0.200306; 0.799621; 0.807969; 0.20399;0.32439
56; 0.798685; 0.767388; 0.153886; 0.854692; 0.810283; 0.306713;0.324302
57; 0.798685; 0.764139; 0.153886; 0.854692; 0.810283; 0.306713;0.324302
58; 0.798685; 0.766153; 0.153886; 0.854692; 0.810283; 0.306713;0.324302
59; 0.798714; 0.763358; 0.200306; 0.8; 0.808226; 0.30399;0.32425
60; 0.798714; 0.762399; 0.200306; 0.8; 0.808226; 0.30399;0.32425
61; 0.798714; 0.757394; 0.200306; 0.8; 0.808226; 0.30399;0.32425
62; 0.798714; 0.762394; 0.200306; 0.8; 0.808226; 0.30399;0.32425
63; 0.798714; 0.758801; 0.200306; 0.8; 0.808226; 0.30399;0.324209
64; 0.798772; 0.761871; 0.138578; 0.870777; 0.810026; 0.307308;0.324145
65; 0.798772; 0.768559; 0.17759; 0.831099; 0.811311; 0.306389;0.323947
66; 0.798798; 0.722507; 0.17759; 0.831099; 0.811311; 0.306389;0.323947
67; 0.798876; 0.765865; 0.200306; 0.801072; 0.80874; 0.304258;0.323899
68; 0.79885; 0.719573; 0.2008; 0.8; 0.808483; 0.304113;0.323895
69; 0.798803; 0.766704; 0.200306; 0.801072; 0.80874; 0.304258;0.323828
70; 0.798669; 0.772529; 0.200306; 0.801072; 0.80874; 0.304258;0.323828
71; 0.798739; 0.766436; 0.200306; 0.801072; 0.80874; 0.304258;0.323828
72; 0.798739; 0.765859; 0.200306; 0.801609; 0.808997; 0.304393;0.323828
73; 0.798739; 0.76606; 0.200306; 0.801609; 0.808997; 0.304393;0.323828
74; 0.798669; 0.759637; 0.200306; 0.801072; 0.80874; 0.304258;0.323823
75; 0.798689; 0.765095; 0.200306; 0.801072; 0.80874; 0.304258;0.323823
76; 0.798961; 0.769127; 0.200306; 0.801072; 0.80874; 0.304258;0.323804
77; 0.798961; 0.769974; 0.200306; 0.801072; 0.80874; 0.304258;0.323804
78; 0.798961; 0.769569; 0.200306; 0.801072; 0.80874; 0.304258;0.323804
79; 0.798989; 0.772925; 0.2008; 0.800157; 0.808483; 0.204247;0.323752
80; 0.799001; 0.775386; 0.2008; 0.800536; 0.80874; 0.304247;0.32373
81; 0.799001; 0.776168; 0.2008; 0.800536; 0.80874; 0.304247;0.32373
82; 0.799001; 0.77529; 0.2008; 0.800536; 0.80874; 0.304247;0.32373
83; 0.799001; 0.773842; 0.2008; 0.800536; 0.80874; 0.304247;0.32373
84; 0.799001; 0.7685; 0.2008; 0.800536; 0.80874; 0.304247;0.32373
85; 0.799001; 0.767457; 0.2008; 0.800536; 0.80874; 0.304247;0.32373
86; 0.799019; 0.768044; 0.2008; 0.801072; 0.808997; 0.304381;0.323698
87; 0.799001; 0.761841; 0.2008; 0.801072; 0.808997; 0.304381;0.323698
88; 0.799019; 0.759429; 0.2008; 0.801072; 0.808997; 0.304381;0.323698
89; 0.799019; 0.762632; 0.2008; 0.801072; 0.808997; 0.304381;0.323698
90; 0.799019; 0.759056; 0.2008; 0.801072; 0.808997; 0.304381;0.323698
91; 0.799019; 0.762582; 0.2008; 0.801072; 0.808997; 0.304381;0.323698
92; 0.799019; 0.761466; 0.2008; 0.801072; 0.808997; 0.304381;0.323698
93; 0.799019; 0.767312; 0.2008; 0.801072; 0.808997; 0.304381;0.323698
94; 0.799029; 0.764838; 0.2008; 0.801072; 0.808997; 0.304381;0.32368
