#Summary : 
#Best fitness Pop 1;0.800813
#Best fitness Pop 2;0.80037
#Std deviation Pop 1;0.0490146
#Std deviation Pop 2;0.0247181
#Sensitivity;0.118025
#Specificity;0.935657
#Accuracy;0.830591
#PPV;0.133148
#RMSE;0.320462
#RRSE;1.1751
#RAE;1.00726
#MSE;0.120491
#ADM;0.402454
#MDM;0.259761
#Size;0.0714286
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0
#Specificity weight;0
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_estriol_d is MF 0 AND ccr_cortisone_d is MF 0 AND ccr_pt_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_zob_dhe_d is MF 0 AND ccr_sa_thf_d is MF 0 AND ccr_zob_dhf_d is MF 2 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_etio_d is MF 0 AND ccr_thaldo_d is MF 0 AND ccr_b_cortol_d is MF 0 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 1
 IF ccr_llb_oh_andro_d is MF 0 AND ccr_l7b_estradiol_d is MF 0 AND ccr_saad3a17b_d is MF 1 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 0 AND 4_Obese is MF 1
 IF ccr_a_cortolone_d is MF 0 AND ccr_ths_d is MF 0 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (319.396 , 533.762 , 833.875) ; ccr_saad3a17b_d (0.271189 , 70.2143 , 75.0143) ; ccr_estriol_d (6.73923 , 18.2035 , 24.909) ; ccr_l7b_estradiol_d (4.86187 , 5.7339 , 8.34999) ; ccr_thaldo_d (15.7159 , 20.8058 , 35.2272) ; ccr_pt_d (318.878 , 469.085 , 478.189) ; ccr_ths_d (46.4524 , 69.6388 , 71.3778) ; ccr_sa_thf_d (6.01716 , 344.138 , 467.957) ; ccr_b_cortol_d (1.09446 , 80.3207 , 183.924) ; ccr_llb_oh_andro_d (73.6282 , 220.399 , 222.147) ; ccr_cortisone_d (5.44462 , 59.7926 , 65.4862) ; ccr_a_cortolone_d (54.8349 , 234.332 , 377.93) ; ccr_zob_dhe_d (1.50402 , 1.66571 , 20.2595) ; ccr_zob_dhf_d (88.9758 , 147.684 , 304.239) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.766036; 0.673092; 0.175309; 0.821448; 0.805655; 0.103198;0.38095
2; 0.770347; 0.669997; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
3; 0.783867; 0.628487; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.793442; 0.677514; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
5; 0.793442; 0.675186; 0.196405; 0.79204; 0.798715; 0.130878;0.333803
6; 0.786552; 0.678311; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
7; 0.793625; 0.671581; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
8; 0.793625; 0.668333; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
9; 0.793625; 0.665276; 0.3752; 0.637879; 0.754499; 0.17181;0.331285
10; 0.795423; 0.668176; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
11; 0.795423; 0.671915; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
12; 0.795423; 0.671912; 0.196642; 0.804008; 0.791517; 0.177102;0.330207
13; 0.795423; 0.682609; 0.256919; 0.754732; 0.794859; 0.177188;0.329678
14; 0.795423; 0.679244; 0.256919; 0.754732; 0.794859; 0.177188;0.329678
15; 0.795423; 0.675821; 0.168523; 0.865976; 0.802057; 0.189391;0.327723
16; 0.794818; 0.669289; 0.168523; 0.865976; 0.802057; 0.189391;0.327723
17; 0.796816; 0.670779; 0.177906; 0.85929; 0.803856; 0.189545;0.327538
18; 0.795783; 0.701567; 0.177906; 0.85929; 0.803856; 0.189545;0.327538
19; 0.795783; 0.711681; 0.177906; 0.85929; 0.803856; 0.189545;0.327538
20; 0.796816; 0.6897; 0.177906; 0.85929; 0.803856; 0.189545;0.327538
21; 0.796895; 0.693787; 0.177906; 0.85929; 0.803856; 0.189545;0.327538
22; 0.796895; 0.701609; 0.177906; 0.85929; 0.803856; 0.189545;0.327538
23; 0.796895; 0.698979; 0.177906; 0.85929; 0.803856; 0.189545;0.327538
24; 0.796895; 0.709045; 0.177906; 0.85929; 0.803856; 0.189545;0.327538
25; 0.796895; 0.705323; 0.177906; 0.85929; 0.803856; 0.189545;0.327538
26; 0.796902; 0.713507; 0.177906; 0.85929; 0.803856; 0.189545;0.327525
27; 0.796921; 0.711426; 0.109146; 0.934426; 0.805913; 0.218803;0.326967
28; 0.796921; 0.709843; 0.109146; 0.934426; 0.805913; 0.218803;0.326967
29; 0.797024; 0.714018; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
30; 0.797044; 0.725122; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
31; 0.797154; 0.734792; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
32; 0.797154; 0.733489; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
33; 0.797278; 0.73352; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
34; 0.797278; 0.732793; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
35; 0.797278; 0.730671; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
36; 0.797278; 0.738655; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
37; 0.797278; 0.738315; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
38; 0.797278; 0.740387; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
39; 0.797278; 0.741113; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
40; 0.797278; 0.737264; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
41; 0.797525; 0.738252; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
42; 0.797547; 0.736929; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
43; 0.797547; 0.731475; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
44; 0.797547; 0.731978; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
45; 0.797547; 0.733335; 0.107091; 0.930463; 0.808483; 0.210246;0.32635
46; 0.797547; 0.736192; 0.18401; 0.832673; 0.814653; 0.127945;0.326184
47; 0.797547; 0.736139; 0.18401; 0.832673; 0.814653; 0.127945;0.326184
48; 0.797547; 0.734096; 0.18401; 0.832673; 0.814653; 0.127945;0.326184
49; 0.797547; 0.731556; 0.18401; 0.832673; 0.814653; 0.127945;0.32618
50; 0.797647; 0.732181; 0.196356; 0.814413; 0.812853; 0.157027;0.326132
51; 0.797647; 0.737186; 0.14002; 0.906564; 0.822365; 0.187012;0.325784
52; 0.797672; 0.737129; 0.14002; 0.906564; 0.822365; 0.187012;0.325784
53; 0.797672; 0.737899; 0.148998; 0.903323; 0.829049; 0.181227;0.325119
54; 0.797657; 0.743787; 0.148998; 0.903323; 0.829049; 0.181227;0.325119
55; 0.797679; 0.741149; 0.148998; 0.903323; 0.829049; 0.181227;0.325119
56; 0.797669; 0.742467; 0.148998; 0.903323; 0.829049; 0.181227;0.325119
57; 0.797657; 0.735915; 0.148998; 0.903323; 0.829049; 0.181227;0.325119
58; 0.797663; 0.735157; 0.159319; 0.893234; 0.831362; 0.173938;0.324919
59; 0.797663; 0.732101; 0.0852444; 0.946002; 0.818252; 0.226199;0.324688
60; 0.797663; 0.730978; 0.091358; 0.939189; 0.818252; 0.124579;0.324547
61; 0.797679; 0.727193; 0.091358; 0.939189; 0.818252; 0.124579;0.324547
62; 0.797691; 0.733749; 0.12882; 0.906038; 0.82108; 0.186573;0.324242
63; 0.797541; 0.72505; 0.133146; 0.90503; 0.823393; 0.170993;0.323963
64; 0.798904; 0.739219; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
65; 0.798904; 0.745872; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
66; 0.798904; 0.741227; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
67; 0.798904; 0.73971; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
68; 0.798904; 0.740448; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
69; 0.798904; 0.741374; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
70; 0.798904; 0.746421; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
71; 0.798904; 0.741413; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
72; 0.798904; 0.74197; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
73; 0.798904; 0.742893; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
74; 0.798904; 0.738315; 0.134321; 0.905787; 0.824679; 0.1217;0.323906
75; 0.798917; 0.742122; 0.134321; 0.905409; 0.824422; 0.1217;0.323883
76; 0.798917; 0.763257; 0.134321; 0.905409; 0.824422; 0.1217;0.323883
77; 0.798917; 0.746361; 0.134321; 0.905409; 0.824422; 0.1217;0.323883
78; 0.798917; 0.762609; 0.134321; 0.905409; 0.824422; 0.1217;0.323883
79; 0.798917; 0.765341; 0.134321; 0.905409; 0.824422; 0.1217;0.323883
80; 0.798917; 0.747738; 0.134321; 0.905409; 0.824422; 0.1217;0.323883
81; 0.798917; 0.768185; 0.134321; 0.905409; 0.824422; 0.1217;0.323883
82; 0.798917; 0.746417; 0.134321; 0.905409; 0.824422; 0.1217;0.323883
83; 0.798917; 0.76548; 0.132583; 0.905817; 0.822622; 0.187963;0.323678
84; 0.798917; 0.739598; 0.132583; 0.905817; 0.822622; 0.187963;0.323678
85; 0.798984; 0.735915; 0.132583; 0.905817; 0.822622; 0.187963;0.323678
86; 0.798984; 0.734426; 0.132583; 0.905817; 0.822622; 0.187963;0.323678
87; 0.798984; 0.725108; 0.132583; 0.905817; 0.822622; 0.187963;0.323678
