#Summary : 
#Best fitness Pop 1;0.726692
#Best fitness Pop 2;0.726692
#Std deviation Pop 1;0.0330905
#Std deviation Pop 2;0.0401324
#Sensitivity;0.273333
#Specificity;0.824013
#Accuracy;0.80874
#PPV;0.211925
#RMSE;0.325721
#RRSE;0.883074
#RAE;0.608208
#MSE;0.1248
#ADM;0.388289
#MDM;0.300229
#Size;0.142857
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.2
#Specificity weight;0.2
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_etio_d is MF 0 AND ccr_l6a_oh_dha_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0 AND 4_Obese is MF 0
 IF ccr_saad3a17b_d is MF 2 AND ccr_zoa_dhf_d is MF 2 THEN 5_ExtremeObese is MF 0
 IF ccr_s_at_d is MF 1 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 1 AND 2_Normal is MF 1
 IF  THEN 2_Normal is MF 1 AND 4_Obese is MF 0
 IF ccr_the_d is MF 0 AND ccr_sa_thf_d is MF 0 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (122.179 , 233.649 , 945.346) ; ccr_s_at_d (0.491438 , 283.955 , 286.337) ; ccr_saad3a17b_d (12.6141 , 45.5285 , 63.3571) ; ccr_l6a_oh_dha_d (46.7375 , 69.2289 , 95.6893) ; ccr_sa_thf_d (63.1644 , 234.606 , 372.712) ; ccr_the_d (529.162 , 1055.13 , 1646.84) ; ccr_zoa_dhf_d (16.4281 , 17.4651 , 48.5745) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.690026; 0.638735; 0.0192593; 0.983378; 0.802056; 0.111429;0.367003
2; 0.69239; 0.620049; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.70289; 0.589534; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.70903; 0.626568; 0.185798; 0.810439; 0.805141; 0.160324;0.333889
5; 0.704537; 0.628537; 0.185798; 0.810439; 0.805141; 0.160324;0.333889
6; 0.706457; 0.59956; 0.188998; 0.808166; 0.804627; 0.173769;0.334217
7; 0.710116; 0.629141; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
8; 0.706457; 0.621472; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
9; 0.706731; 0.584519; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
10; 0.708513; 0.608794; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
11; 0.708165; 0.598743; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
12; 0.708582; 0.600222; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
13; 0.709903; 0.618028; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
14; 0.709903; 0.613499; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
15; 0.710124; 0.607198; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
16; 0.710124; 0.603713; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
17; 0.710124; 0.601892; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
18; 0.710124; 0.607581; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
19; 0.710124; 0.616393; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
20; 0.710165; 0.61837; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
21; 0.710165; 0.621587; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
22; 0.710165; 0.629239; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
23; 0.710165; 0.625233; 0.146667; 0.891689; 0.824422; 0.119038;0.345117
24; 0.710165; 0.634643; 0.146667; 0.891689; 0.824422; 0.119038;0.345117
25; 0.710165; 0.627995; 0.12642; 0.915281; 0.825193; 0.123671;0.345569
26; 0.710165; 0.635099; 0.112099; 0.931367; 0.82545; 0.127887;0.346159
27; 0.712896; 0.637216; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
28; 0.712896; 0.636872; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
29; 0.712896; 0.640915; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
