#Summary : 
#Best fitness Pop 1;0.725198
#Best fitness Pop 2;0.724955
#Std deviation Pop 1;0.0475658
#Std deviation Pop 2;0.0228291
#Sensitivity;0.232199
#Specificity;0.855237
#Accuracy;0.82365
#PPV;0.276828
#RMSE;0.325918
#RRSE;1.14306
#RAE;0.945683
#MSE;0.124735
#ADM;0.414832
#MDM;0.206699
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.2
#Specificity weight;0.2
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_zoa_dhe_d is MF 2 AND ccr_pd_d is MF 0 THEN 4_Obese is MF 0 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0 AND 2_Normal is MF 1
 IF ccr_pt_one_d is MF 0 AND ccr_thb_d is MF 1 AND ccr_testosterone_d is MF 2 THEN 4_Obese is MF 0 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1 AND 1_SousPoid is MF 0 AND 3_Surpoid is MF 1
 IF ccr_thdoc_d is MF 1 AND ccr_thf_d is MF 1 THEN 1_SousPoid is MF 0
 IF ccr_a_cortol_d is MF 1 AND ccr_s_ad_17b_d is MF 0 THEN 1_SousPoid is MF 1 AND 2_Normal is MF 0 AND 4_Obese is MF 1
 IF ccr_pt_one_d is MF 0 AND ccr_thf_d is MF 1 THEN 1_SousPoid is MF 1 AND 3_Surpoid is MF 0 AND 2_Normal is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_s_ad_17b_d (44.6287 , 73.3363 , 73.3363) ; ccr_testosterone_d (3.28713 , 7.21334 , 18.9919) ; ccr_thb_d (26.2524 , 73.1749 , 78.7609) ; ccr_thdoc_d (1.31253 , 2.67256 , 7.84067) ; ccr_pd_d (47.2559 , 125.644 , 195.78) ; ccr_pt_one_d (29.9785 , 61.3211 , 88.2904) ; ccr_thf_d (8.16063 , 18.9421 , 353.169) ; ccr_a_cortol_d (14.9987 , 75.5767 , 89.3444) ; ccr_zoa_dhe_d (0.927845 , 1.51694 , 8.41773) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.690026; 0.594108; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.690033; 0.635444; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.710201; 0.623098; 0.200612; 0.798106; 0.806941; 0.161009;0.331813
4; 0.710201; 0.627058; 0.200612; 0.798106; 0.806941; 0.161009;0.331813
5; 0.696226; 0.607749; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
6; 0.710253; 0.627206; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
7; 0.710253; 0.630996; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
8; 0.710253; 0.62703; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
9; 0.710282; 0.640012; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
10; 0.706345; 0.648903; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
11; 0.707196; 0.646215; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
12; 0.708821; 0.636302; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
13; 0.707955; 0.639355; 0.0930923; 0.950038; 0.819023; 0.409412;0.341461
14; 0.710174; 0.633585; 0.0930923; 0.950038; 0.819023; 0.409412;0.341461
15; 0.710174; 0.632689; 0.0930923; 0.950038; 0.819023; 0.409412;0.341024
16; 0.712763; 0.627965; 0.0930923; 0.950038; 0.819023; 0.409412;0.341024
17; 0.712919; 0.630622; 0.0930923; 0.950038; 0.819023; 0.409412;0.340938
18; 0.713195; 0.629908; 0.0950676; 0.949502; 0.819794; 0.41;0.340881
19; 0.713195; 0.636794; 0.16802; 0.863143; 0.82108; 0.164626;0.332731
20; 0.713195; 0.637924; 0.16802; 0.863143; 0.82108; 0.164626;0.332731
21; 0.713195; 0.623919; 0.16802; 0.863143; 0.82108; 0.164626;0.332731
22; 0.713291; 0.629676; 0.16802; 0.863143; 0.82108; 0.164626;0.332731
23; 0.713291; 0.630261; 0.16802; 0.863143; 0.82108; 0.164626;0.332731
24; 0.713291; 0.635618; 0.16802; 0.863143; 0.82108; 0.164626;0.332731
25; 0.713319; 0.650026; 0.16802; 0.863143; 0.82108; 0.164626;0.332731
26; 0.713319; 0.652786; 0.16802; 0.863143; 0.82108; 0.164626;0.332731
27; 0.715234; 0.65568; 0.095634; 0.943508; 0.817738; 0.262018;0.333698
28; 0.715947; 0.656774; 0.0887471; 0.948145; 0.81928; 0.259545;0.33107
29; 0.716139; 0.642536; 0.130616; 0.934663; 0.801285; 0.272967;0.340919
30; 0.715953; 0.661152; 0.130616; 0.934663; 0.801285; 0.272967;0.340919
31; 0.715953; 0.667102; 0.130616; 0.934663; 0.801285; 0.272967;0.340919
32; 0.707564; 0.647248; 0.274281; 0.774849; 0.761183; 0.197491;0.330027
33; 0.715952; 0.664215; 0.274281; 0.774849; 0.761183; 0.197491;0.330027
34; 0.718785; 0.665238; 0.0867718; 0.949155; 0.819023; 0.395624;0.323526
35; 0.718785; 0.666697; 0.0867718; 0.949155; 0.819023; 0.395624;0.323526
36; 0.718785; 0.672713; 0.251921; 0.813776; 0.800771; 0.196989;0.332009
37; 0.718785; 0.670253; 0.251921; 0.813776; 0.800771; 0.196989;0.332009
38; 0.718785; 0.67337; 0.251921; 0.813776; 0.800771; 0.196989;0.332009
39; 0.714954; 0.667639; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
40; 0.713762; 0.669018; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
41; 0.714529; 0.673178; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
42; 0.712186; 0.657196; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
43; 0.713886; 0.652061; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
44; 0.714776; 0.67273; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
45; 0.714558; 0.660749; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
46; 0.715297; 0.680044; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
47; 0.714557; 0.677573; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
48; 0.715672; 0.676872; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
49; 0.716615; 0.675238; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
50; 0.716615; 0.675472; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
51; 0.714725; 0.680965; 0.101172; 0.943094; 0.819537; 0.428958;0.323316
52; 0.717204; 0.660716; 0.256522; 0.806909; 0.812339; 0.259563;0.327178
53; 0.721148; 0.679148; 0.256522; 0.806909; 0.812339; 0.259563;0.327178
54; 0.721219; 0.680119; 0.256522; 0.806909; 0.812339; 0.259563;0.327178
55; 0.721219; 0.678282; 0.256028; 0.807982; 0.812596; 0.259772;0.32714
56; 0.721219; 0.677882; 0.25664; 0.808675; 0.812853; 0.260874;0.327029
57; 0.721229; 0.679398; 0.25664; 0.808675; 0.812853; 0.260874;0.327029
58; 0.72137; 0.664218; 0.253628; 0.810318; 0.813625; 0.262387;0.326456
59; 0.7216; 0.665513; 0.253134; 0.811391; 0.813882; 0.262595;0.326417
