#Summary : 
#Best fitness Pop 1;0.724435
#Best fitness Pop 2;0.724434
#Std deviation Pop 1;0.0259556
#Std deviation Pop 2;0.0205951
#Sensitivity;0.276392
#Specificity;0.814171
#Accuracy;0.803085
#PPV;0.306405
#RMSE;0.328983
#RRSE;0.898047
#RAE;0.639421
#MSE;0.127953
#ADM;0.354012
#MDM;0.307279
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.2
#Specificity weight;0.2
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sa_thf_d is MF 1 AND ccr_testosterone_d is MF 0 AND ccr_l7b_estradiol_d is MF 0 THEN 4_Obese is MF 0 AND 2_Normal is MF 0
 IF ccr_thaldo_d is MF 2 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_b_cortolone_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_s_ad_17b_d is MF 0 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 1
 IF ccr_ths_d is MF 0 AND ccr_pd_d is MF 1 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_s_ad_17b_d (110.417 , 121.182 , 148.694) ; ccr_testosterone_d (4.26869 , 13.5934 , 22.182) ; ccr_l7b_estradiol_d (5.36017 , 11.4644 , 13.2084) ; ccr_thaldo_d (23.3508 , 33.1064 , 34.8031) ; ccr_pd_d (18.3762 , 125.644 , 220.534) ; ccr_ths_d (8.19491 , 25.5847 , 27.3237) ; ccr_sa_thf_d (67.9267 , 167.934 , 558.44) ; ccr_b_cortolone_d (238.875 , 359.815 , 401.281) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.690026; 0.594108; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.690033; 0.635444; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.710201; 0.623098; 0.200612; 0.798106; 0.806941; 0.161009;0.331813
4; 0.710201; 0.627058; 0.200612; 0.798106; 0.806941; 0.161009;0.331813
5; 0.710201; 0.625393; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
6; 0.696257; 0.608005; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
7; 0.710031; 0.629644; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
8; 0.710031; 0.626376; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
9; 0.704676; 0.609432; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
10; 0.704863; 0.647121; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
11; 0.707196; 0.645443; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
12; 0.705703; 0.615334; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
13; 0.695645; 0.627535; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
14; 0.705279; 0.634899; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
15; 0.70978; 0.631791; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
16; 0.710178; 0.624454; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
17; 0.710178; 0.626005; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
18; 0.710961; 0.626265; 0.355042; 0.659463; 0.758612; 0.172808;0.335619
19; 0.710961; 0.634751; 0.247862; 0.784793; 0.790231; 0.180792;0.341425
20; 0.715033; 0.636638; 0.34241; 0.687869; 0.771979; 0.178292;0.330991
21; 0.715033; 0.639066; 0.34241; 0.687869; 0.771979; 0.178292;0.330974
22; 0.714361; 0.642786; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
23; 0.712117; 0.643979; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
24; 0.715267; 0.665488; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
25; 0.712415; 0.64584; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
26; 0.715249; 0.667517; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
27; 0.714933; 0.664972; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
28; 0.715294; 0.667216; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
29; 0.715653; 0.670668; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
30; 0.715653; 0.676843; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
31; 0.715654; 0.66843; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
32; 0.715654; 0.668636; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
33; 0.715732; 0.667939; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
34; 0.715775; 0.66788; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
35; 0.716333; 0.667093; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
36; 0.716651; 0.672499; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
37; 0.716651; 0.670966; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
38; 0.716651; 0.672206; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
39; 0.716651; 0.672808; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
40; 0.716651; 0.669209; 0.266449; 0.783626; 0.779949; 0.188644;0.333332
41; 0.717003; 0.674054; 0.330897; 0.709712; 0.782005; 0.315331;0.329735
42; 0.717003; 0.673413; 0.330897; 0.709712; 0.782005; 0.315331;0.329735
43; 0.717003; 0.669677; 0.330897; 0.709712; 0.782005; 0.315331;0.329735
44; 0.717003; 0.671046; 0.330897; 0.709712; 0.782005; 0.315331;0.329735
45; 0.717003; 0.672649; 0.330897; 0.709712; 0.782005; 0.315331;0.329735
46; 0.717003; 0.67604; 0.330897; 0.709712; 0.782005; 0.315331;0.329735
47; 0.717003; 0.675255; 0.330897; 0.709712; 0.782005; 0.315331;0.329735
48; 0.717025; 0.672248; 0.370294; 0.674995; 0.771979; 0.255902;0.331378
49; 0.717372; 0.672091; 0.353494; 0.694092; 0.779434; 0.258231;0.331328
50; 0.717372; 0.673225; 0.353494; 0.694092; 0.779434; 0.258231;0.331328
51; 0.717407; 0.678441; 0.333366; 0.709175; 0.783033; 0.315851;0.32941
52; 0.717407; 0.675745; 0.333366; 0.709175; 0.783033; 0.315851;0.32941
53; 0.717407; 0.677405; 0.333366; 0.709175; 0.783033; 0.315851;0.32941
54; 0.717407; 0.679991; 0.333366; 0.709175; 0.783033; 0.315851;0.32941
55; 0.717407; 0.680176; 0.333366; 0.709175; 0.783033; 0.315851;0.32941
56; 0.717505; 0.681852; 0.334587; 0.709175; 0.782519; 0.332121;0.329605
57; 0.717505; 0.680489; 0.334587; 0.709175; 0.782519; 0.332121;0.329605
58; 0.717505; 0.68092; 0.334587; 0.709175; 0.782519; 0.332121;0.329605
59; 0.717505; 0.677829; 0.334587; 0.709175; 0.782519; 0.332121;0.329605
60; 0.717505; 0.677174; 0.334587; 0.709175; 0.782519; 0.332121;0.329605
61; 0.717505; 0.674589; 0.334587; 0.709175; 0.782519; 0.332121;0.329605
62; 0.717704; 0.677335; 0.336069; 0.708639; 0.783033; 0.332374;0.329443
63; 0.717704; 0.672614; 0.336069; 0.708639; 0.783033; 0.332374;0.329443
64; 0.717704; 0.67257; 0.336069; 0.708639; 0.783033; 0.332374;0.329443
