#Summary : 
#Best fitness Pop 1;0.728559
#Best fitness Pop 2;0.728856
#Std deviation Pop 1;0.0328121
#Std deviation Pop 2;0.0285245
#Sensitivity;0.269253
#Specificity;0.838368
#Accuracy;0.823907
#PPV;0.298611
#RMSE;0.323961
#RRSE;1.02526
#RAE;0.755879
#MSE;0.123597
#ADM;0.366769
#MDM;0.210405
#Size;0.0769231
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.2
#Specificity weight;0.2
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_zoa_dhf_d is MF 0 AND ccr_tha_d is MF 0 AND ccr_s_at_d is MF 0 THEN 2_Normal is MF 0 AND 4_Obese is MF 0 AND 3_Surpoid is MF 1
 IF ccr_saad3a17b_d is MF 2 AND ccr_zob_dhf_d is MF 1 AND ccr_ll_oxo_etio_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1 AND 2_Normal is MF 1
 IF ccr_llb_oh_etio_d is MF 0 AND ccr_b_cortolone_d is MF 0 AND ccr_sa_dihydrotest_d is MF 2 THEN 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_sb_oh_f_d is MF 0 AND ccr_a_cortol_d is MF 1 AND ccr_testosterone_d is MF 2 THEN 1_SousPoid is MF 0 AND 4_Obese is MF 1
 IF ccr_a_cortolone_d is MF 0 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_s_at_d (0.491438 , 150.56 , 279.191) ; ccr_sa_dihydrotest_d (1.72043 , 12.7557 , 14.9015) ; ccr_saad3a17b_d (5.07121 , 24.2713 , 44.8428) ; ccr_testosterone_d (1.32403 , 1.56942 , 1.56942) ; ccr_tha_d (11.3928 , 35.6855 , 54.4781) ; ccr_a_cortol_d (17.7523 , 61.809 , 260.064) ; ccr_llb_oh_etio_d (71.4819 , 82.8956 , 127.409) ; ccr_a_cortolone_d (54.8349 , 701.025 , 730.941) ; ccr_b_cortolone_d (380.548 , 411.647 , 435.835) ; ccr_ll_oxo_etio_d (66.0535 , 95.4132 , 136.517) ; ccr_sb_oh_f_d (15.9098 , 62.2988 , 63.3412) ; ccr_zoa_dhf_d (7.09528 , 19.539 , 50.1299) ; ccr_zob_dhf_d (88.9758 , 218.134 , 484.278) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.690026; 0.638735; 0.0192593; 0.983378; 0.802056; 0.111429;0.367003
2; 0.69239; 0.620049; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.70289; 0.589534; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.70903; 0.626568; 0.185798; 0.810439; 0.805141; 0.160324;0.333889
5; 0.704537; 0.628537; 0.185798; 0.810439; 0.805141; 0.160324;0.333889
6; 0.706457; 0.59956; 0.188998; 0.808166; 0.804627; 0.173769;0.334217
7; 0.710116; 0.629141; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
8; 0.706457; 0.621472; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
9; 0.706731; 0.584519; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
10; 0.706731; 0.588164; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
11; 0.708582; 0.610279; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
12; 0.708582; 0.600352; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
13; 0.709903; 0.618096; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
14; 0.709903; 0.613499; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
15; 0.710124; 0.607197; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
16; 0.710124; 0.603713; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
17; 0.710124; 0.601892; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
18; 0.710124; 0.607581; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
19; 0.710124; 0.616393; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
20; 0.710165; 0.61837; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
21; 0.710165; 0.620653; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
22; 0.710165; 0.628112; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
23; 0.710165; 0.626258; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
24; 0.710165; 0.632945; 0.146667; 0.891689; 0.824422; 0.119038;0.345117
25; 0.710165; 0.630051; 0.117037; 0.922252; 0.82365; 0.124084;0.345317
26; 0.710165; 0.636954; 0.112099; 0.931367; 0.82545; 0.127887;0.346159
27; 0.710165; 0.633509; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
28; 0.712896; 0.635156; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
29; 0.712896; 0.638692; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
30; 0.714344; 0.647722; 0.15996; 0.876823; 0.819023; 0.181234;0.335108
31; 0.714344; 0.652926; 0.15996; 0.876823; 0.819023; 0.181234;0.335108
32; 0.714344; 0.650795; 0.15996; 0.876823; 0.819023; 0.181234;0.335108
33; 0.714493; 0.650772; 0.15996; 0.877895; 0.819537; 0.181707;0.335119
34; 0.714493; 0.650502; 0.15996; 0.877895; 0.819537; 0.181707;0.335119
35; 0.714493; 0.647845; 0.15996; 0.877895; 0.819537; 0.181707;0.335119
36; 0.714493; 0.654056; 0.15996; 0.877895; 0.819537; 0.181707;0.335119
37; 0.715641; 0.653509; 0.146627; 0.898807; 0.822622; 0.187343;0.334953
