#Summary : 
#Best fitness Pop 1;0.722692
#Best fitness Pop 2;0.722688
#Std deviation Pop 1;0.0312944
#Std deviation Pop 2;0.0246838
#Sensitivity;0.204316
#Specificity;0.868026
#Accuracy;0.82108
#PPV;0.204937
#RMSE;0.326805
#RRSE;0.896866
#RAE;0.633672
#MSE;0.12585
#ADM;0.390513
#MDM;0.300296
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.2
#Specificity weight;0.2
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_l8_oh_tha_d is MF 0 AND ccr_a_cortol_d is MF 0 AND ccr_tha_d is MF 0 THEN 4_Obese is MF 0 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_llb_oh_etio_d is MF 1 AND ccr_zob_dhf_d is MF 2 AND ccr_b_cortolone_d is MF 0 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_s_at_d is MF 1 THEN 3_Surpoid is MF 0 AND 4_Obese is MF 1 AND 2_Normal is MF 1
 IF  THEN 2_Normal is MF 1 AND 3_Surpoid is MF 0 AND 4_Obese is MF 1
 IF ccr_the_d is MF 0 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_s_at_d (0.491438 , 155.325 , 283.955) ; ccr_tha_d (5.89252 , 23.7683 , 56.7698) ; ccr_l8_oh_tha_d (38.8475 , 47.7855 , 163.98) ; ccr_a_cortol_d (133.401 , 207.747 , 268.325) ; ccr_llb_oh_etio_d (12.1304 , 21.2614 , 102.299) ; ccr_the_d (174.134 , 292.477 , 818.445) ; ccr_b_cortolone_d (166.31 , 290.706 , 359.815) ; ccr_zob_dhf_d (6.78423 , 280.756 , 394.259) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.690026; 0.638735; 0.0192593; 0.983378; 0.802056; 0.111429;0.367003
2; 0.69239; 0.620049; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.70289; 0.589534; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.70903; 0.626568; 0.185798; 0.810439; 0.805141; 0.160324;0.333889
5; 0.704537; 0.628537; 0.185798; 0.810439; 0.805141; 0.160324;0.333889
6; 0.706457; 0.59956; 0.188998; 0.808166; 0.804627; 0.173769;0.334217
7; 0.710116; 0.629141; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
8; 0.706457; 0.621472; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
9; 0.706731; 0.584519; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
10; 0.708513; 0.608794; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
11; 0.708165; 0.598743; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
12; 0.708582; 0.60978; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
13; 0.709903; 0.618036; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
14; 0.709903; 0.613493; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
15; 0.710124; 0.607197; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
16; 0.710124; 0.603711; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
17; 0.710124; 0.601891; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
18; 0.710124; 0.607581; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
19; 0.710124; 0.616393; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
20; 0.710165; 0.617504; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
21; 0.710165; 0.621613; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
22; 0.710165; 0.629427; 0.146667; 0.891689; 0.824422; 0.119038;0.345117
23; 0.710165; 0.625182; 0.146667; 0.891689; 0.824422; 0.119038;0.345117
24; 0.710165; 0.634396; 0.146667; 0.891689; 0.824422; 0.119038;0.345117
25; 0.710165; 0.628597; 0.12642; 0.915281; 0.825193; 0.123671;0.345569
26; 0.710978; 0.638717; 0.112099; 0.931367; 0.82545; 0.127887;0.346159
27; 0.712896; 0.637488; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
28; 0.712896; 0.636966; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
29; 0.712896; 0.640842; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
30; 0.714344; 0.649194; 0.15996; 0.876823; 0.819023; 0.181234;0.335108
31; 0.714344; 0.653818; 0.15996; 0.876823; 0.819023; 0.181234;0.335108
