#Summary : 
#Best fitness Pop 1;0.726846
#Best fitness Pop 2;0.726905
#Std deviation Pop 1;0.0415435
#Std deviation Pop 2;0.0276296
#Sensitivity;0.257867
#Specificity;0.842298
#Accuracy;0.82108
#PPV;0.213935
#RMSE;0.326202
#RRSE;0.882987
#RAE;0.605643
#MSE;0.125267
#ADM;0.384674
#MDM;0.300219
#Size;0.1
#OverLearn;0

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.2
#Specificity weight;0.2
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_etio_d is MF 0 AND ccr_sb_oh_f_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_llb_oh_andro_d is MF 1 AND ccr_sb_oh_f_d is MF 0 AND ccr_etio_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 0 AND 2_Normal is MF 1
 IF ccr_zob_dhe_d is MF 0 AND ccr_s_at_d is MF 1 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 1
 IF ccr_sa_dihydrotest_d is MF 2 THEN 4_Obese is MF 0
 IF ccr_the_d is MF 0 AND ccr_llb_oh_andro_d is MF 0 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (105.029 , 216.5 , 516.613) ; ccr_s_at_d (38.6042 , 257.753 , 303.011) ; ccr_sa_dihydrotest_d (0.954092 , 18.7332 , 19.3463) ; ccr_llb_oh_andro_d (119.057 , 129.541 , 187.201) ; ccr_the_d (174.134 , 1212.92 , 1331.26) ; ccr_sb_oh_f_d (16.431 , 31.5465 , 39.8861) ; ccr_zob_dhe_d (9.42661 , 12.4986 , 15.5707) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.690026; 0.638735; 0.0192593; 0.983378; 0.802056; 0.111429;0.367003
2; 0.69239; 0.620049; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.70289; 0.589534; 0.175427; 0.817345; 0.802828; 0.142475;0.335723
4; 0.70903; 0.626568; 0.185798; 0.810439; 0.805141; 0.160324;0.333889
5; 0.704537; 0.628537; 0.185798; 0.810439; 0.805141; 0.160324;0.333889
6; 0.706457; 0.59956; 0.188998; 0.808166; 0.804627; 0.173769;0.334217
7; 0.710116; 0.629141; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
8; 0.706457; 0.621472; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
9; 0.706731; 0.584519; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
10; 0.708513; 0.608794; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
11; 0.708165; 0.598743; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
12; 0.708582; 0.600222; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
13; 0.709903; 0.618028; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
14; 0.709903; 0.613499; 0.197156; 0.801859; 0.806941; 0.16108;0.332135
15; 0.710124; 0.607198; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
16; 0.710124; 0.603713; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
17; 0.710124; 0.601892; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
18; 0.710124; 0.607581; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
19; 0.710124; 0.616393; 0.12642; 0.90992; 0.822622; 0.120755;0.345738
20; 0.710165; 0.61837; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
21; 0.710165; 0.621587; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
22; 0.710165; 0.629239; 0.127901; 0.908311; 0.822622; 0.120465;0.345586
23; 0.710165; 0.625233; 0.146667; 0.891689; 0.824422; 0.119038;0.345117
24; 0.710165; 0.634643; 0.146667; 0.891689; 0.824422; 0.119038;0.345117
25; 0.710165; 0.627995; 0.12642; 0.915281; 0.825193; 0.123671;0.345569
26; 0.710978; 0.638414; 0.112099; 0.931367; 0.82545; 0.127887;0.346159
27; 0.712896; 0.637216; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
28; 0.712896; 0.636872; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
29; 0.712896; 0.640915; 0.170825; 0.856448; 0.81491; 0.176422;0.335336
30; 0.714344; 0.649199; 0.15996; 0.876823; 0.819023; 0.181234;0.335108
31; 0.714344; 0.6535; 0.15996; 0.876823; 0.819023; 0.181234;0.335108
