#Summary : 
#Best fitness Pop 1;0.684246
#Best fitness Pop 2;0.684523
#Std deviation Pop 1;0.0231184
#Std deviation Pop 2;0.0165785
#Sensitivity;0.327476
#Specificity;0.799205
#Accuracy;0.788689
#PPV;0.241393
#RMSE;0.35574
#RRSE;1.14565
#RAE;0.933671
#MSE;0.148716
#ADM;0.469798
#MDM;0.203588
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.4
#Specificity weight;0.4
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortolone_d is MF 1 AND ccr_l7b_estradiol_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0
 IF ccr_zoa_dhf_d is MF 0 AND ccr_cortisol_d is MF 2 AND ccr_cortisone_d is MF 2 THEN 1_SousPoid is MF 1 AND 4_Obese is MF 1 AND 2_Normal is MF 0
 IF ccr_a_cortolone_d is MF 1 AND ccr_llb_oh_andro_d is MF 0 THEN 3_Surpoid is MF 1 AND 1_SousPoid is MF 0
 IF ccr_thb_d is MF 0 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_cortisol_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 1 AND 4_Obese is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_l7b_estradiol_d (0.626289 , 1.00002 , 1.37374) ; ccr_thb_d (0.556773 , 7.25998 , 31.8384) ; ccr_cortisol_d (2.5865 , 5.33136 , 7.39) ; ccr_llb_oh_andro_d (73.6282 , 190.696 , 225.641) ; ccr_cortisone_d (12.691 , 34.4302 , 57.7222) ; ccr_a_cortolone_d (48.8516 , 186.466 , 730.941) ; ccr_zoa_dhf_d (9.68773 , 20.576 , 21.613) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.647798; 0.573206; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.64944; 0.593197; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.663347; 0.59546; 0.200612; 0.798106; 0.806941; 0.161009;0.331813
4; 0.663347; 0.598455; 0.200612; 0.798106; 0.806941; 0.161009;0.331813
5; 0.663347; 0.597256; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
6; 0.663347; 0.598816; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
7; 0.663347; 0.601305; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
8; 0.663347; 0.597732; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
9; 0.663674; 0.597059; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
10; 0.663814; 0.599089; 0.395437; 0.608048; 0.739846; 0.16912;0.33375
11; 0.663814; 0.601254; 0.135309; 0.906166; 0.82545; 0.122049;0.355349
12; 0.663962; 0.612256; 0.159012; 0.877748; 0.824165; 0.117091;0.340347
13; 0.664201; 0.605037; 0.161975; 0.876676; 0.825193; 0.117563;0.339625
14; 0.663527; 0.603045; 0.161975; 0.876676; 0.825193; 0.117563;0.339625
15; 0.663728; 0.611489; 0.161975; 0.876676; 0.825193; 0.117563;0.339625
16; 0.663527; 0.596124; 0.161975; 0.876676; 0.825193; 0.117563;0.339625
17; 0.666826; 0.602258; 0.161975; 0.876676; 0.825193; 0.117563;0.339625
18; 0.666826; 0.604847; 0.161975; 0.876676; 0.825193; 0.117563;0.339625
19; 0.66889; 0.602993; 0.161975; 0.876676; 0.825193; 0.117563;0.339625
20; 0.668947; 0.604021; 0.326409; 0.785064; 0.773779; 0.227853;0.376062
21; 0.668947; 0.606949; 0.326409; 0.785064; 0.773779; 0.227853;0.376062
22; 0.670699; 0.611465; 0.319871; 0.790554; 0.773779; 0.228535;0.374057
23; 0.66912; 0.609348; 0.319871; 0.790554; 0.773779; 0.228535;0.374057
24; 0.669055; 0.614077; 0.319871; 0.790554; 0.773779; 0.228535;0.374057
25; 0.669055; 0.611992; 0.319871; 0.790554; 0.773779; 0.228535;0.374057
26; 0.669055; 0.617012; 0.319871; 0.790554; 0.773779; 0.228535;0.374057
27; 0.672226; 0.62698; 0.319871; 0.790554; 0.773779; 0.228535;0.374057
28; 0.675433; 0.608932; 0.319871; 0.790554; 0.773779; 0.228535;0.374057
29; 0.675433; 0.610592; 0.319871; 0.790554; 0.773779; 0.228535;0.374057
30; 0.67606; 0.617781; 0.288671; 0.817322; 0.782262; 0.230934;0.368643
31; 0.677874; 0.622439; 0.280157; 0.823978; 0.781491; 0.229974;0.361197
