#Summary : 
#Best fitness Pop 1;0.688689
#Best fitness Pop 2;0.688689
#Std deviation Pop 1;0.0363533
#Std deviation Pop 2;0.0116951
#Sensitivity;0.258677
#Specificity;0.840714
#Accuracy;0.815424
#PPV;0.214606
#RMSE;0.322139
#RRSE;0.894439
#RAE;0.624943
#MSE;0.121409
#ADM;0.412358
#MDM;0.301391
#Size;0.142857
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.4
#Specificity weight;0.4
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortol_d is MF 2 THEN 3_Surpoid is MF 1 AND 4_Obese is MF 0
 IF ccr_tha_d is MF 1 THEN 4_Obese is MF 1 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_sa_thf_d is MF 2 AND ccr_thf_d is MF 1 THEN 4_Obese is MF 0 AND 5_ExtremeObese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_cortisone_d is MF 1 THEN 1_SousPoid is MF 0 AND 3_Surpoid is MF 0
 IF ccr_thf_d is MF 2 AND ccr_sb_oh_f_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_tha_d (6.35088 , 17.3514 , 23.7683) ; ccr_thf_d (29.7237 , 36.9113 , 313.637) ; ccr_sa_thf_d (20.304 , 48.8776 , 86.9757) ; ccr_a_cortol_d (70.0696 , 70.0696 , 138.908) ; ccr_cortisone_d (19.4198 , 28.219 , 31.8422) ; ccr_sb_oh_f_d (12.2612 , 30.5041 , 44.0559) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.64813; 0.596421; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
2; 0.648633; 0.592248; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.657796; 0.569121; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
4; 0.662161; 0.598986; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
5; 0.661756; 0.583232; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
6; 0.663219; 0.594807; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
7; 0.663215; 0.566954; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
8; 0.663215; 0.566513; 0.116049; 0.912064; 0.818252; 0.117794;0.350914
9; 0.663295; 0.565985; 0.116049; 0.912064; 0.818252; 0.117794;0.350914
10; 0.665904; 0.574839; 0.134815; 0.899196; 0.821851; 0.118438;0.349194
11; 0.664074; 0.595961; 0.134815; 0.899196; 0.821851; 0.118438;0.349194
12; 0.664074; 0.579763; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
13; 0.664823; 0.584167; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
14; 0.664676; 0.589776; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
15; 0.664676; 0.587452; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
16; 0.666498; 0.589929; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
17; 0.666498; 0.57478; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
18; 0.666498; 0.594227; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
19; 0.666498; 0.5873; 0.139753; 0.896249; 0.822879; 0.118908;0.348069
20; 0.667386; 0.603901; 0.155556; 0.880965; 0.823907; 0.117318;0.346138
21; 0.667386; 0.590753; 0.155556; 0.880965; 0.823907; 0.117318;0.346138
22; 0.667386; 0.596117; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
23; 0.667386; 0.599531; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
24; 0.667386; 0.601194; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
25; 0.667908; 0.59876; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
26; 0.667908; 0.603073; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
27; 0.667943; 0.604012; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
28; 0.667943; 0.604335; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
29; 0.667943; 0.606646; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
