#Summary : 
#Best fitness Pop 1;0.688388
#Best fitness Pop 2;0.688205
#Std deviation Pop 1;0.0345589
#Std deviation Pop 2;0.0129923
#Sensitivity;0.242963
#Specificity;0.861001
#Accuracy;0.820309
#PPV;0.221603
#RMSE;0.32642
#RRSE;0.902126
#RAE;0.63979
#MSE;0.125476
#ADM;0.41902
#MDM;0.300379
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.4
#Specificity weight;0.4
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_at_d is MF 0 AND ccr_etio_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF cr_l8_oh_f_d is MF 0 AND ccr_zob_dhf_d is MF 2 AND ccr_zob_dhe_d is MF 0 THEN 5_ExtremeObese is MF 1
 IF ccr_thf_d is MF 1 THEN 1_SousPoid is MF 0 AND 3_Surpoid is MF 1 AND 2_Normal is MF 0 AND 4_Obese is MF 1
 IF ccr_tha_d is MF 0 AND ccr_the_d is MF 1 THEN 4_Obese is MF 1 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 1
 IF ccr_pt_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (2.13335 , 207.925 , 748.129) ; ccr_s_at_d (148.178 , 150.56 , 274.427) ; ccr_tha_d (5.43417 , 28.3519 , 48.0611) ; ccr_pt_d (9.36097 , 419.016 , 473.637) ; cr_l8_oh_f_d (3.69573 , 495.388 , 3199.7) ; ccr_thf_d (11.7545 , 453.797 , 457.39) ; ccr_the_d (16.3436 , 82.0896 , 253.029) ; ccr_zob_dhe_d (2.79751 , 2.79751 , 11.5285) ; ccr_zob_dhf_d (120.287 , 355.12 , 359.034) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.647798; 0.573206; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.64944; 0.593197; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.663347; 0.59546; 0.200612; 0.798106; 0.806941; 0.161009;0.331813
4; 0.663347; 0.598455; 0.200612; 0.798106; 0.806941; 0.161009;0.331813
5; 0.652667; 0.584341; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
6; 0.663219; 0.59521; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
7; 0.663219; 0.596835; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
8; 0.663674; 0.59832; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
9; 0.663674; 0.597075; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
10; 0.663674; 0.599983; 0.2016; 0.798106; 0.807455; 0.161256;0.331303
11; 0.663814; 0.601881; 0.395437; 0.608048; 0.739846; 0.16912;0.33375
12; 0.663814; 0.60079; 0.395437; 0.608048; 0.739846; 0.16912;0.33375
13; 0.664203; 0.606276; 0.397412; 0.606976; 0.74036; 0.169349;0.333134
14; 0.664203; 0.603778; 0.397412; 0.606976; 0.74036; 0.169349;0.333134
15; 0.664286; 0.601441; 0.397412; 0.607354; 0.740617; 0.169435;0.333139
16; 0.664286; 0.596021; 0.397412; 0.607354; 0.740617; 0.169435;0.333139
17; 0.664286; 0.597059; 0.140089; 0.890029; 0.773008; 0.212502;0.351655
18; 0.664286; 0.598038; 0.140089; 0.890029; 0.773008; 0.212502;0.351655
19; 0.664286; 0.602919; 0.140089; 0.890029; 0.773008; 0.212502;0.351655
20; 0.664286; 0.603842; 0.12801; 0.909386; 0.787147; 0.205943;0.353235
21; 0.664295; 0.585899; 0.114627; 0.923088; 0.814653; 0.194201;0.335848
22; 0.669069; 0.598492; 0.114627; 0.923088; 0.814653; 0.194201;0.335848
23; 0.672313; 0.600497; 0.233936; 0.824937; 0.778149; 0.203542;0.34627
24; 0.672313; 0.604111; 0.233936; 0.824937; 0.778149; 0.203542;0.34627
25; 0.672313; 0.602666; 0.233936; 0.824937; 0.778149; 0.203542;0.34627
26; 0.672313; 0.607318; 0.156237; 0.908492; 0.811568; 0.219461;0.334401
27; 0.672313; 0.60587; 0.156237; 0.908492; 0.811568; 0.219461;0.334401
28; 0.676654; 0.607062; 0.242953; 0.835586; 0.797172; 0.209448;0.344198
29; 0.676654; 0.61018; 0.242953; 0.835586; 0.797172; 0.209448;0.344198
30; 0.676654; 0.615966; 0.242953; 0.835586; 0.797172; 0.209448;0.344198
31; 0.676654; 0.621053; 0.242953; 0.835586; 0.797172; 0.209448;0.344198
32; 0.676654; 0.621392; 0.189995; 0.88637; 0.811054; 0.217967;0.338165
