#Summary : 
#Best fitness Pop 1;0.681486
#Best fitness Pop 2;0.681373
#Std deviation Pop 1;0.0360903
#Std deviation Pop 2;0.0112983
#Sensitivity;0.20004
#Specificity;0.872926
#Accuracy;0.822879
#PPV;0.21745
#RMSE;0.326465
#RRSE;0.898102
#RAE;0.632458
#MSE;0.125596
#ADM;0.44465
#MDM;0.300568
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.4
#Specificity weight;0.4
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sb_oh_f_d is MF 2 AND ccr_zob_dhf_d is MF 0 THEN 2_Normal is MF 1 AND 3_Surpoid is MF 0 AND 4_Obese is MF 1
 IF ccr_llb_oh_etio_d is MF 1 AND ccr_ths_d is MF 2 THEN 4_Obese is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_saad3a17b_d is MF 2 AND ccr_testosterone_d is MF 2 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_tha_d is MF 1 AND ccr_pd_d is MF 0 THEN 1_SousPoid is MF 0 AND 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_thf_d is MF 2 THEN 2_Normal is MF 0 AND 1_SousPoid is MF 0 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_saad3a17b_d (13.9855 , 26.3284 , 48.9571) ; ccr_testosterone_d (10.4034 , 19.7281 , 19.9735) ; ccr_tha_d (3.60075 , 17.8097 , 40.2691) ; ccr_pd_d (204.031 , 228.785 , 430.943) ; ccr_ths_d (16.3101 , 26.1644 , 38.3372) ; ccr_thf_d (8.16063 , 8.16063 , 245.354) ; ccr_llb_oh_etio_d (5.28215 , 66.9164 , 142.247) ; ccr_sb_oh_f_d (2.87915 , 15.9098 , 29.9828) ; ccr_zob_dhf_d (88.9758 , 124.201 , 339.464) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.64813; 0.596421; 0.140741; 0.881501; 0.816452; 0.112648;0.374379
2; 0.648633; 0.592248; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.657796; 0.569121; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
4; 0.662161; 0.598986; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
5; 0.661756; 0.583232; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
6; 0.663219; 0.594807; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
7; 0.663215; 0.566954; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
8; 0.663215; 0.566513; 0.116049; 0.912064; 0.818252; 0.117794;0.350914
9; 0.663295; 0.565985; 0.116049; 0.912064; 0.818252; 0.117794;0.350914
10; 0.665904; 0.574839; 0.134815; 0.899196; 0.821851; 0.118438;0.349194
11; 0.664074; 0.595961; 0.134815; 0.899196; 0.821851; 0.118438;0.349194
12; 0.664074; 0.579763; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
13; 0.664823; 0.584167; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
14; 0.664676; 0.589776; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
15; 0.664676; 0.587452; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
16; 0.666498; 0.589929; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
17; 0.666498; 0.57478; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
18; 0.666498; 0.594227; 0.136296; 0.898123; 0.822108; 0.118455;0.34753
19; 0.666498; 0.5873; 0.139753; 0.896249; 0.822879; 0.118908;0.348069
20; 0.667386; 0.603901; 0.155556; 0.880965; 0.823907; 0.117318;0.346138
21; 0.667386; 0.590753; 0.155556; 0.880965; 0.823907; 0.117318;0.346138
22; 0.667386; 0.596117; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
23; 0.667386; 0.599531; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
24; 0.667386; 0.601194; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
25; 0.667908; 0.59876; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
26; 0.667908; 0.603073; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
27; 0.667943; 0.604012; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
28; 0.667943; 0.604334; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
29; 0.667943; 0.606647; 0.145185; 0.892761; 0.824165; 0.119028;0.345346
30; 0.668239; 0.61073; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
31; 0.668239; 0.614628; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
32; 0.668239; 0.61421; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
33; 0.668239; 0.614566; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
34; 0.668239; 0.614777; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
35; 0.668239; 0.616777; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
36; 0.668239; 0.620193; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
37; 0.668239; 0.619716; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
38; 0.668239; 0.622971; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
39; 0.668239; 0.622383; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
40; 0.668239; 0.618862; 0.146667; 0.892761; 0.824936; 0.119517;0.345457
41; 0.668284; 0.620804; 0.147239; 0.881304; 0.81491; 0.195801;0.330661
42; 0.668284; 0.622377; 0.147239; 0.881304; 0.81491; 0.195801;0.330661
43; 0.668284; 0.617; 0.133906; 0.895245; 0.814653; 0.197331;0.330594
44; 0.668284; 0.617488; 0.133906; 0.895245; 0.814653; 0.197331;0.330594
45; 0.668239; 0.619989; 0.133906; 0.895245; 0.814653; 0.197331;0.330594
46; 0.669416; 0.620054; 0.129956; 0.902309; 0.815681; 0.193481;0.331667
47; 0.668763; 0.623486; 0.129956; 0.902309; 0.815681; 0.193481;0.331667
48; 0.669627; 0.619272; 0.129956; 0.902309; 0.815681; 0.193481;0.331667
49; 0.670051; 0.619093; 0.129956; 0.902309; 0.815681; 0.193481;0.331667
50; 0.669704; 0.619961; 0.129956; 0.902309; 0.815681; 0.193481;0.331667
51; 0.673201; 0.617413; 0.158904; 0.876665; 0.817995; 0.188801;0.326383
52; 0.673201; 0.615633; 0.158904; 0.876665; 0.817995; 0.188801;0.326383
53; 0.670847; 0.618216; 0.158904; 0.876665; 0.817995; 0.188801;0.326383
54; 0.672614; 0.650361; 0.208573; 0.836012; 0.807712; 0.191078;0.331374
55; 0.673674; 0.61673; 0.208573; 0.836012; 0.807712; 0.191078;0.331374
56; 0.673674; 0.614835; 0.208573; 0.836012; 0.807712; 0.191078;0.331374
57; 0.673946; 0.612008; 0.189373; 0.85293; 0.812596; 0.191479;0.32883
58; 0.673946; 0.608853; 0.202844; 0.853451; 0.808997; 0.200255;0.333281
59; 0.673946; 0.604834; 0.202844; 0.853451; 0.808997; 0.200255;0.333281
60; 0.675554; 0.614941; 0.204326; 0.852915; 0.809512; 0.200548;0.333139
61; 0.675554; 0.613316; 0.204326; 0.852915; 0.809512; 0.200548;0.333139
62; 0.675986; 0.616618; 0.204277; 0.854021; 0.811568; 0.201671;0.332365
63; 0.675983; 0.613102; 0.204277; 0.854021; 0.811568; 0.201671;0.332365
64; 0.675983; 0.61474; 0.206252; 0.854021; 0.812596; 0.202398;0.332149
65; 0.675986; 0.619087; 0.206252; 0.854021; 0.812596; 0.202398;0.332149
66; 0.675989; 0.61841; 0.206252; 0.854021; 0.812596; 0.202398;0.332149
67; 0.675986; 0.616651; 0.206252; 0.854021; 0.812596; 0.202398;0.332149
68; 0.675986; 0.61502; 0.206252; 0.854021; 0.812596; 0.202398;0.332149
69; 0.676942; 0.612374; 0.207052; 0.853264; 0.812339; 0.202187;0.332118
70; 0.676942; 0.625952; 0.207052; 0.853264; 0.812339; 0.202187;0.332118
71; 0.676942; 0.623617; 0.207052; 0.853264; 0.812339; 0.202187;0.332118
72; 0.676942; 0.611868; 0.206252; 0.854179; 0.812596; 0.202301;0.332169
73; 0.677232; 0.624462; 0.208751; 0.853352; 0.809769; 0.20219;0.33247
74; 0.677232; 0.615295; 0.208751; 0.853352; 0.809769; 0.20219;0.33247
75; 0.677232; 0.624354; 0.208751; 0.853352; 0.809769; 0.20219;0.33247
76; 0.677232; 0.619167; 0.208751; 0.853352; 0.809769; 0.20219;0.33247
77; 0.677232; 0.619852; 0.208751; 0.853352; 0.809769; 0.20219;0.33247
78; 0.677232; 0.616965; 0.208751; 0.853352; 0.809769; 0.20219;0.33247
79; 0.677232; 0.616331; 0.208751; 0.853352; 0.809769; 0.20219;0.33247
80; 0.677232; 0.619715; 0.208751; 0.853352; 0.809769; 0.20219;0.33247
81; 0.677767; 0.618963; 0.207951; 0.856318; 0.811311; 0.203903;0.332294
82; 0.677767; 0.623235; 0.207951; 0.856318; 0.811311; 0.203903;0.332294
83; 0.677767; 0.619861; 0.207951; 0.856318; 0.811311; 0.203903;0.332294
