#Summary : 
#Best fitness Pop 1;0.687441
#Best fitness Pop 2;0.687188
#Std deviation Pop 1;0.0313643
#Std deviation Pop 2;0.0301313
#Sensitivity;0.244209
#Specificity;0.859403
#Accuracy;0.815681
#PPV;0.267344
#RMSE;0.329252
#RRSE;1.15413
#RAE;0.957482
#MSE;0.126893
#ADM;0.446719
#MDM;0.202314
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.4
#Specificity weight;0.4
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_ad_17b_d is MF 2 AND ccr_cortisone_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 0 AND 1_SousPoid is MF 0
 IF ccr_etio_d is MF 0 AND ccr_cortisone_d is MF 0 AND ccr_thf_d is MF 2 THEN 4_Obese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 IF ccr_a_cortolone_d is MF 0 AND ccr_pt_one_d is MF 1 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_sa_thf_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_zoa_dhe_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (585.21 , 782.427 , 988.219) ; ccr_s_ad_17b_d (43.4326 , 98.4555 , 135.536) ; ccr_testosterone_d (3.53252 , 5.74101 , 13.1026) ; ccr_pt_one_d (5.92492 , 10.2983 , 50.3877) ; ccr_thf_d (11.7545 , 54.8805 , 443.015) ; ccr_sa_thf_d (53.6399 , 258.417 , 567.965) ; ccr_cortisone_d (11.1382 , 40.1238 , 49.4406) ; ccr_a_cortolone_d (186.466 , 467.679 , 712.991) ; ccr_zoa_dhe_d (0.254597 , 2.44265 , 3.1159) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.64813; 0.596421; 0.0192593; 0.983378; 0.802056; 0.111429;0.367003
2; 0.648633; 0.592248; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.657796; 0.569121; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
4; 0.662161; 0.598986; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
5; 0.661756; 0.583232; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
6; 0.663219; 0.594807; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
7; 0.665616; 0.595651; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
8; 0.661582; 0.565339; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
9; 0.661582; 0.564575; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
10; 0.657867; 0.587057; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
11; 0.664092; 0.599182; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
12; 0.668015; 0.59885; 0.293768; 0.730583; 0.789203; 0.181458;0.333875
13; 0.65708; 0.60136; 0.293768; 0.730583; 0.789203; 0.181458;0.333875
14; 0.665468; 0.598107; 0.293768; 0.730583; 0.789203; 0.181458;0.333875
15; 0.663679; 0.578373; 0.293768; 0.730583; 0.789203; 0.181458;0.333875
16; 0.670672; 0.603516; 0.161185; 0.877836; 0.820566; 0.213537;0.337154
17; 0.672154; 0.601647; 0.229916; 0.830104; 0.808483; 0.197813;0.346733
18; 0.663708; 0.586769; 0.229916; 0.830104; 0.808483; 0.197813;0.346733
19; 0.672656; 0.621207; 0.0949827; 0.939784; 0.818252; 0.189238;0.327575
20; 0.670552; 0.616362; 0.0949827; 0.939784; 0.818252; 0.189238;0.327575
21; 0.670652; 0.620284; 0.0949827; 0.939784; 0.818252; 0.189238;0.327575
22; 0.670836; 0.62287; 0.199921; 0.861626; 0.799486; 0.205972;0.341096
23; 0.673696; 0.626409; 0.193867; 0.860378; 0.818766; 0.204856;0.330219
24; 0.673846; 0.627892; 0.193867; 0.860378; 0.818766; 0.204856;0.330219
25; 0.67417; 0.62698; 0.216217; 0.841886; 0.815681; 0.203425;0.333
26; 0.676002; 0.633727; 0.216217; 0.841886; 0.815681; 0.203425;0.333
27; 0.676002; 0.633114; 0.216217; 0.841886; 0.815681; 0.203425;0.333
28; 0.675875; 0.633238; 0.216217; 0.841886; 0.815681; 0.203425;0.333
29; 0.675483; 0.634999; 0.216217; 0.841886; 0.815681; 0.203425;0.333
30; 0.675511; 0.637437; 0.216217; 0.841886; 0.815681; 0.203425;0.332981
31; 0.675699; 0.641059; 0.216523; 0.84258; 0.815938; 0.203844;0.333505
32; 0.675495; 0.640246; 0.214686; 0.842772; 0.81671; 0.204105;0.331471
33; 0.676094; 0.638983; 0.217837; 0.842427; 0.819023; 0.207968;0.331261
