#Summary : 
#Best fitness Pop 1;0.687975
#Best fitness Pop 2;0.687964
#Std deviation Pop 1;0.0283179
#Std deviation Pop 2;0.0144548
#Sensitivity;0.255526
#Specificity;0.843833
#Accuracy;0.814139
#PPV;0.216035
#RMSE;0.324433
#RRSE;0.892257
#RAE;0.624804
#MSE;0.123566
#ADM;0.404295
#MDM;0.300114
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.4
#Specificity weight;0.4
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_zob_dhf_d is MF 0 AND ccr_the_d is MF 1 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_the_d is MF 0 AND ccr_sb_oh_f_d is MF 1 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 1 AND 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 0
 IF ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 1_SousPoid is MF 1
 IF ccr_estriol_d is MF 0 THEN 4_Obese is MF 0 AND 3_Surpoid is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 IF ccr_ll_oxo_etio_d is MF 1 AND ccr_thaldo_d is MF 0 AND cr_l8_oh_f_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 2_Normal is MF 0 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (96.4546 , 216.5 , 628.083) ; ccr_estriol_d (8.03707 , 17.9872 , 19.0687) ; ccr_thaldo_d (0.446172 , 2.56697 , 52.1936) ; cr_l8_oh_f_d (649.042 , 1171.47 , 3845.05) ; ccr_the_d (174.134 , 371.372 , 1160.32) ; ccr_ll_oxo_etio_d (20.2523 , 95.4132 , 117.727) ; ccr_sb_oh_f_d (17.9947 , 23.2069 , 65.9474) ; ccr_zob_dhf_d (88.9758 , 284.67 , 382.517) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.64813; 0.596421; 0.025679; 0.969973; 0.798972; 0.0962963;0.350755
2; 0.648633; 0.592248; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.657796; 0.569121; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
4; 0.662161; 0.598986; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
5; 0.661756; 0.583232; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
6; 0.66418; 0.592835; 0.248523; 0.754196; 0.790231; 0.174894;0.331997
7; 0.665616; 0.595584; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
8; 0.661179; 0.565278; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
9; 0.662433; 0.594593; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
10; 0.663423; 0.588; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
11; 0.662519; 0.596888; 0.222528; 0.818682; 0.799229; 0.187147;0.333218
12; 0.66242; 0.588327; 0.222528; 0.818682; 0.799229; 0.187147;0.333218
13; 0.665867; 0.598626; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
14; 0.663464; 0.584945; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
15; 0.649807; 0.567677; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
16; 0.666163; 0.605225; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
17; 0.665293; 0.588956; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
18; 0.665058; 0.586813; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
19; 0.667452; 0.607909; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
20; 0.667452; 0.612689; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
21; 0.667756; 0.616773; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
22; 0.668484; 0.619513; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
23; 0.668484; 0.617344; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
24; 0.66875; 0.62538; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
25; 0.668484; 0.61952; 0.223328; 0.819218; 0.799743; 0.187833;0.333063
26; 0.668884; 0.622122; 0.163605; 0.888063; 0.813368; 0.202243;0.327555
27; 0.669136; 0.626317; 0.163605; 0.888063; 0.813368; 0.202243;0.327555
28; 0.670172; 0.625794; 0.165817; 0.887084; 0.813111; 0.2032;0.328307
29; 0.670172; 0.627885; 0.189511; 0.864199; 0.805398; 0.198896;0.328498
30; 0.673559; 0.621716; 0.189511; 0.864199; 0.805398; 0.198896;0.328498
31; 0.676462; 0.62945; 0.189086; 0.865335; 0.806427; 0.199123;0.327841
32; 0.676942; 0.637923; 0.189086; 0.865335; 0.806427; 0.199123;0.327841
33; 0.676942; 0.639336; 0.189086; 0.865335; 0.806427; 0.199123;0.327841
