#Summary : 
#Best fitness Pop 1;0.697058
#Best fitness Pop 2;0.697085
#Std deviation Pop 1;0.0212178
#Std deviation Pop 2;0.0273787
#Sensitivity;0.318405
#Specificity;0.835057
#Accuracy;0.806427
#PPV;0.270694
#RMSE;0.333936
#RRSE;1.13347
#RAE;0.897748
#MSE;0.130028
#ADM;0.397664
#MDM;0.185199
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.4
#Specificity weight;0.4
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_a_cortolone_d is MF 1 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_zob_dhf_d is MF 2 AND ccr_thdoc_d is MF 0 AND ccr_l8_oh_tha_d is MF 1 THEN 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 1 AND 2_Normal is MF 1
 IF ccr_thdoc_d is MF 0 AND ccr_sa_thb_d is MF 0 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 1
 IF ccr_thaldo_d is MF 1 AND ccr_estriol_d is MF 0 THEN 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 0 AND 1_SousPoid is MF 0
 IF ccr_etio_d is MF 0 THEN 1_SousPoid is MF 0 AND 2_Normal is MF 0 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (87.8799 , 216.5 , 559.486) ; ccr_estriol_d (8.03707 , 12.3632 , 24.2601) ; ccr_sa_thb_d (23.271 , 390.742 , 400.674) ; ccr_thaldo_d (1.29449 , 23.7749 , 32.2581) ; ccr_thdoc_d (4.10059 , 7.36466 , 7.43266) ; ccr_l8_oh_tha_d (23.9508 , 126.738 , 144.614) ; ccr_a_cortolone_d (72.7846 , 216.382 , 318.098) ; ccr_zob_dhf_d (2.87034 , 10.6981 , 421.656) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.64813; 0.596421; 0.0192593; 0.983378; 0.802056; 0.111429;0.367003
2; 0.648633; 0.592248; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.657796; 0.569121; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
4; 0.662161; 0.598986; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
5; 0.661756; 0.583232; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
6; 0.663219; 0.594807; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
7; 0.665616; 0.595651; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
8; 0.661582; 0.565339; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
9; 0.661582; 0.564575; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
10; 0.657867; 0.587057; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
11; 0.667085; 0.591108; 0.105185; 0.930295; 0.821337; 0.124198;0.34637
12; 0.668015; 0.598671; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
13; 0.663076; 0.593954; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
14; 0.664712; 0.5729; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
15; 0.661515; 0.580243; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
16; 0.665678; 0.592018; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
17; 0.665678; 0.593476; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
18; 0.666878; 0.581461; 0.115062; 0.929222; 0.825964; 0.127671;0.344258
19; 0.667644; 0.593008; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
20; 0.671063; 0.59412; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
21; 0.67505; 0.611808; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
22; 0.67505; 0.616653; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
23; 0.67505; 0.615013; 0.200334; 0.867823; 0.822879; 0.171892;0.343516
24; 0.67505; 0.620531; 0.201788; 0.871953; 0.822108; 0.169665;0.345911
25; 0.67505; 0.61894; 0.201788; 0.871953; 0.822108; 0.169665;0.345911
26; 0.675212; 0.622098; 0.176343; 0.894739; 0.818766; 0.173615;0.342529
27; 0.675212; 0.621454; 0.215355; 0.858025; 0.821594; 0.170516;0.340663
28; 0.67876; 0.623485; 0.213847; 0.867833; 0.822365; 0.172175;0.340504
29; 0.67876; 0.62731; 0.213847; 0.867833; 0.822365; 0.172175;0.340504
30; 0.679858; 0.631273; 0.202983; 0.883383; 0.824165; 0.175697;0.340751
31; 0.679858; 0.636183; 0.202983; 0.883383; 0.824165; 0.175697;0.340751
32; 0.679952; 0.635722; 0.188168; 0.896787; 0.822879; 0.177619;0.339544
