#Summary : 
#Best fitness Pop 1;0.689259
#Best fitness Pop 2;0.689259
#Std deviation Pop 1;0.0295027
#Std deviation Pop 2;0.0191042
#Sensitivity;0.404631
#Specificity;0.712838
#Accuracy;0.771722
#PPV;0.252808
#RMSE;0.333374
#RRSE;1.02487
#RAE;0.761285
#MSE;0.13096
#ADM;0.341678
#MDM;0.202819
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.4
#Specificity weight;0.4
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_etio_d is MF 0 AND ccr_a_cortolone_d is MF 1 AND ccr_testosterone_d is MF 0 THEN 4_Obese is MF 1 AND 2_Normal is MF 0
 IF ccr_zob_dhf_d is MF 2 THEN 4_Obese is MF 0
 IF ccr_sa_thb_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 1
 IF ccr_saad3a17b_d is MF 0 AND ccr_pt_d is MF 1 AND cr_l8_oh_f_d is MF 0 THEN 1_SousPoid is MF 1 AND 3_Surpoid is MF 0
 IF ccr_etio_d is MF 0 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 0 AND 1_SousPoid is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (79.3053 , 405.142 , 773.853) ; ccr_saad3a17b_d (5.07121 , 16.7284 , 37.2999) ; ccr_testosterone_d (1.32403 , 16.5381 , 18.0104) ; ccr_sa_thb_d (159.004 , 311.289 , 394.053) ; ccr_pt_d (63.9817 , 218.74 , 296.12) ; cr_l8_oh_f_d (741.235 , 1079.27 , 1878.27) ; ccr_a_cortolone_d (102.701 , 198.433 , 665.126) ; ccr_zob_dhf_d (26.3537 , 88.9758 , 417.742) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.64813; 0.596421; 0.0192593; 0.983378; 0.802056; 0.111429;0.367003
2; 0.648633; 0.592248; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
3; 0.657796; 0.569121; 0.131664; 0.889952; 0.81491; 0.163734;0.353813
4; 0.662161; 0.598986; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
5; 0.661756; 0.583232; 0.116543; 0.907239; 0.816195; 0.115403;0.350553
6; 0.663219; 0.594807; 0.072158; 0.934603; 0.782776; 0.185205;0.336215
7; 0.665616; 0.595651; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
8; 0.661582; 0.565339; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
9; 0.661582; 0.564575; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
10; 0.657867; 0.587057; 0.339862; 0.669254; 0.763239; 0.171564;0.331948
11; 0.667085; 0.591108; 0.105185; 0.930295; 0.821337; 0.124198;0.34637
12; 0.668015; 0.598671; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
13; 0.661285; 0.587469; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
14; 0.663076; 0.5932; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
15; 0.664774; 0.613965; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
16; 0.665668; 0.590687; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
17; 0.665668; 0.591286; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
18; 0.663791; 0.612671; 0.101235; 0.937265; 0.822622; 0.127329;0.345516
19; 0.67505; 0.605075; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
20; 0.67505; 0.606422; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
21; 0.660895; 0.605798; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
22; 0.669342; 0.608216; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
23; 0.669342; 0.607866; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
24; 0.666116; 0.626222; 0.200334; 0.867805; 0.822879; 0.170782;0.344036
25; 0.675573; 0.615571; 0.209196; 0.863891; 0.822108; 0.167735;0.345937
26; 0.674169; 0.602837; 0.209196; 0.863891; 0.822108; 0.167735;0.345937
27; 0.675831; 0.618424; 0.20969; 0.86446; 0.822879; 0.169538;0.345867
28; 0.675641; 0.618849; 0.209196; 0.865596; 0.82365; 0.173107;0.344241
29; 0.676124; 0.621287; 0.209196; 0.865596; 0.82365; 0.173107;0.344241
30; 0.676078; 0.625893; 0.199813; 0.879253; 0.825193; 0.17516;0.344507
