#Summary : 
#Best fitness Pop 1;0.663149
#Best fitness Pop 2;0.663149
#Std deviation Pop 1;0.0262395
#Std deviation Pop 2;0.0109306
#Sensitivity;0.263585
#Specificity;0.845963
#Accuracy;0.825964
#PPV;0.219514
#RMSE;0.334246
#RRSE;0.88588
#RAE;0.598156
#MSE;0.133258
#ADM;0.474631
#MDM;0.301411
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_at_d is MF 0 AND ccr_l7b_estradiol_d is MF 0 AND ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 4_Obese is MF 1 AND 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 0
 IF ccr_zob_dhf_d is MF 2 AND ccr_zoa_dhf_d is MF 0 THEN 2_Normal is MF 1 AND 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 1
 IF ccr_cortisone_d is MF 0 THEN 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0 AND 4_Obese is MF 1
 IF ccr_estriol_d is MF 2 AND ccr_sa_thb_d is MF 0 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 0 AND 2_Normal is MF 1
 IF ccr_llb_oh_andro_d is MF 0 AND ccr_the_d is MF 0 THEN 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 1 AND 2_Normal is MF 1 AND 4_Obese is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (36.432 , 207.925 , 525.188) ; ccr_s_at_d (0.491438 , 133.886 , 257.753) ; ccr_estriol_d (5.22508 , 6.52292 , 21.4481) ; ccr_l7b_estradiol_d (8.84829 , 10.5924 , 14.2051) ; ccr_sa_thb_d (202.041 , 364.258 , 400.674) ; ccr_llb_oh_andro_d (28.199 , 49.1663 , 157.497) ; ccr_cortisone_d (17.3494 , 31.8422 , 64.9686) ; ccr_the_d (949.937 , 1015.68 , 1554.8) ; ccr_zoa_dhf_d (1.91039 , 21.613 , 22.65) ; ccr_zob_dhf_d (22.4398 , 155.512 , 374.689) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.620925; 0.588155; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.628383; 0.58297; 0.140741; 0.881501; 0.816452; 0.112648;0.374379
3; 0.629327; 0.581368; 0.264; 0.74822; 0.793573; 0.178187;0.354026
4; 0.629827; 0.571893; 0.232; 0.77085; 0.7982; 0.175542;0.341592
5; 0.630839; 0.572615; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
6; 0.634062; 0.576732; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.636921; 0.585023; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.637498; 0.586104; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.637498; 0.58425; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
10; 0.637498; 0.585626; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
11; 0.639871; 0.587634; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
12; 0.640095; 0.56403; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
13; 0.639539; 0.567901; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
14; 0.639894; 0.589834; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
15; 0.640038; 0.587278; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
16; 0.638912; 0.572666; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
17; 0.639332; 0.554992; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
18; 0.638912; 0.573624; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
19; 0.639467; 0.590121; 0.128395; 0.926005; 0.831362; 0.130653;0.348535
20; 0.639467; 0.589491; 0.274607; 0.803627; 0.79563; 0.202278;0.366695
21; 0.643351; 0.583583; 0.281472; 0.801138; 0.799486; 0.202695;0.352018
22; 0.640448; 0.58832; 0.281472; 0.801138; 0.799486; 0.202695;0.352018
23; 0.651388; 0.581613; 0.281472; 0.801517; 0.799743; 0.202847;0.351994
24; 0.651388; 0.585127; 0.283259; 0.801138; 0.800257; 0.20328;0.35176
25; 0.651388; 0.585167; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
26; 0.651497; 0.590838; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
27; 0.652082; 0.586879; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
28; 0.652129; 0.588762; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
29; 0.652129; 0.588727; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
30; 0.652129; 0.595852; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
31; 0.652129; 0.599139; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
32; 0.652236; 0.598061; 0.276533; 0.809024; 0.800771; 0.205522;0.351837
33; 0.652656; 0.59812; 0.277027; 0.809781; 0.801542; 0.205994;0.351519
34; 0.652656; 0.598634; 0.277027; 0.809781; 0.801542; 0.205994;0.351519
35; 0.652802; 0.597365; 0.277027; 0.810318; 0.801799; 0.206315;0.351521
