#Summary : 
#Best fitness Pop 1;0.66923
#Best fitness Pop 2;0.66923
#Std deviation Pop 1;0.0297819
#Std deviation Pop 2;0.015208
#Sensitivity;0.368636
#Specificity;0.784181
#Accuracy;0.784576
#PPV;0.25013
#RMSE;0.357316
#RRSE;1.13366
#RAE;0.920617
#MSE;0.150067
#ADM;0.390856
#MDM;0.200209
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_l6a_oh_dha_d is MF 0 AND ccr_l7b_estradiol_d is MF 0 AND ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 4_Obese is MF 1 AND 3_Surpoid is MF 1 AND 1_SousPoid is MF 1
 IF ccr_zob_dhf_d is MF 2 AND ccr_thb_d is MF 2 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_cortisone_d is MF 1 THEN 1_SousPoid is MF 1 AND 2_Normal is MF 1
 IF cr_l8_oh_f_d is MF 2 AND ccr_sa_thb_d is MF 0 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 0 AND 2_Normal is MF 1
 IF ccr_llb_oh_andro_d is MF 0 AND ccr_the_d is MF 0 THEN 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 1 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (70.7306 , 267.948 , 722.405) ; ccr_l7b_estradiol_d (3.49153 , 8.84829 , 14.8279) ; ccr_l6a_oh_dha_d (11.0159 , 111.566 , 130.088) ; ccr_thb_d (18.432 , 106.691 , 107.808) ; ccr_sa_thb_d (159.004 , 384.121 , 403.985) ; cr_l8_oh_f_d (1294.39 , 2800.2 , 3015.31) ; ccr_llb_oh_andro_d (28.199 , 80.6173 , 209.916) ; ccr_cortisone_d (22.0078 , 25.631 , 55.1342) ; ccr_the_d (410.82 , 700.102 , 1265.52) ; ccr_zob_dhf_d (132.029 , 390.345 , 402.087) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 1) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.620925; 0.588155; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.628383; 0.58297; 0.140741; 0.881501; 0.816452; 0.112648;0.374379
3; 0.629327; 0.581368; 0.264; 0.74822; 0.793573; 0.178187;0.354026
4; 0.629827; 0.571893; 0.232; 0.77085; 0.7982; 0.175542;0.341592
5; 0.630839; 0.572615; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
6; 0.634062; 0.576732; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.636921; 0.585023; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.637498; 0.586104; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.637498; 0.58425; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
10; 0.637498; 0.585626; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
11; 0.639871; 0.587634; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
12; 0.640095; 0.56403; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
13; 0.639539; 0.567901; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
14; 0.639894; 0.589834; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
15; 0.640038; 0.587278; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
16; 0.638912; 0.572666; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
17; 0.639332; 0.554992; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
18; 0.638912; 0.573624; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
19; 0.639165; 0.582153; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
20; 0.639467; 0.589531; 0.274607; 0.803627; 0.79563; 0.202278;0.366695
21; 0.648137; 0.574889; 0.281472; 0.801138; 0.799486; 0.202695;0.352018
22; 0.651497; 0.585683; 0.281472; 0.801517; 0.799743; 0.202847;0.351994
23; 0.651388; 0.581505; 0.281472; 0.801517; 0.799743; 0.202847;0.351994
24; 0.651388; 0.58487; 0.283259; 0.801138; 0.800257; 0.20328;0.35176
25; 0.651497; 0.587866; 0.283259; 0.801138; 0.800257; 0.20328;0.35176
26; 0.651497; 0.590645; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
27; 0.652082; 0.586947; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
28; 0.652129; 0.587502; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
29; 0.652129; 0.591292; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
30; 0.652129; 0.592358; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
31; 0.65213; 0.598748; 0.276533; 0.808645; 0.800514; 0.20537;0.351849
32; 0.652236; 0.594828; 0.276533; 0.809024; 0.800771; 0.205522;0.351837
33; 0.652239; 0.595258; 0.276533; 0.809024; 0.800771; 0.205522;0.351827
34; 0.652239; 0.59629; 0.276533; 0.809024; 0.800771; 0.205522;0.351827
