#Summary : 
#Best fitness Pop 1;0.659553
#Best fitness Pop 2;0.660911
#Std deviation Pop 1;0.0310419
#Std deviation Pop 2;0.0192185
#Sensitivity;0.269511
#Specificity;0.841897
#Accuracy;0.815681
#PPV;0.237914
#RMSE;0.345273
#RRSE;1.03208
#RAE;0.708823
#MSE;0.137483
#ADM;0.474646
#MDM;0.215406
#Size;0.111111
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_pt_d is MF 0 AND ccr_a_cortolone_d is MF 1 AND ccr_s_at_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0 AND 4_Obese is MF 0
 IF ccr_ths_d is MF 0 AND ccr_zob_dhe_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 1 AND 4_Obese is MF 0
 IF ccr_dha_d is MF 2 AND ccr_thaldo_d is MF 0 THEN 4_Obese is MF 0 AND 3_Surpoid is MF 1 AND 1_SousPoid is MF 1
 IF ccr_b_cortolone_d is MF 2 THEN 5_ExtremeObese is MF 0 AND 2_Normal is MF 0 AND 4_Obese is MF 1
 IF ccr_zob_dhf_d is MF 1 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_s_at_d (5.25553 , 105.302 , 138.65) ; ccr_dha_d (9.57414 , 921.101 , 967.138) ; ccr_s_pt_d (0.04551 , 40.202 , 96.7184) ; ccr_thaldo_d (14.8676 , 19.9575 , 26.3199) ; ccr_ths_d (5.87627 , 6.45593 , 9.93389) ; ccr_a_cortolone_d (30.9019 , 150.567 , 437.762) ; ccr_b_cortolone_d (24.6371 , 200.865 , 325.261) ; ccr_zob_dhe_d (1.66571 , 2.15076 , 12.9837) ; ccr_zob_dhf_d (26.3537 , 159.426 , 429.484) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.620925; 0.559905; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.62093; 0.586336; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.629997; 0.575492; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
4; 0.631366; 0.575629; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
5; 0.631366; 0.576103; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
6; 0.626782; 0.583719; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.635631; 0.58959; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.637545; 0.58465; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.63279; 0.589176; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
10; 0.638121; 0.5655; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
11; 0.638121; 0.567379; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
12; 0.640573; 0.576295; 0.106173; 0.931903; 0.822622; 0.125731;0.346636
13; 0.638788; 0.581289; 0.106173; 0.931903; 0.822622; 0.125731;0.346636
14; 0.640696; 0.579815; 0.128395; 0.912252; 0.824165; 0.123515;0.348971
15; 0.637102; 0.568106; 0.128395; 0.912789; 0.824422; 0.12381;0.349319
16; 0.640925; 0.578176; 0.154568; 0.888472; 0.826992; 0.120154;0.330019
17; 0.640175; 0.576411; 0.154568; 0.888472; 0.826992; 0.120154;0.330019
18; 0.63038; 0.572501; 0.154568; 0.888472; 0.826992; 0.120154;0.330019
19; 0.6408; 0.585706; 0.245007; 0.822828; 0.801285; 0.199128;0.34452
20; 0.643596; 0.573518; 0.245007; 0.822828; 0.801285; 0.199128;0.34452
21; 0.639761; 0.595687; 0.245007; 0.822828; 0.801285; 0.199128;0.34452
22; 0.640417; 0.577913; 0.220464; 0.848177; 0.811825; 0.203856;0.343034
23; 0.645716; 0.589584; 0.223022; 0.846766; 0.816195; 0.205629;0.343505
24; 0.622074; 0.593675; 0.223022; 0.846766; 0.816195; 0.205629;0.343505
25; 0.64634; 0.605528; 0.221195; 0.848585; 0.811311; 0.204335;0.343439
26; 0.654319; 0.608468; 0.264292; 0.839081; 0.780463; 0.230451;0.363128
27; 0.650013; 0.584034; 0.264292; 0.839081; 0.780463; 0.230451;0.363128
28; 0.650426; 0.584079; 0.264292; 0.839081; 0.780463; 0.230451;0.363128
29; 0.651451; 0.586168; 0.264292; 0.839081; 0.780463; 0.230451;0.363128
30; 0.651451; 0.592948; 0.264292; 0.839081; 0.780463; 0.230451;0.363128
31; 0.651451; 0.596421; 0.264292; 0.839081; 0.780463; 0.230451;0.363128
32; 0.651616; 0.596732; 0.264292; 0.839081; 0.780463; 0.230451;0.363128
33; 0.651734; 0.598163; 0.264292; 0.839081; 0.780463; 0.230451;0.363128
