#Summary : 
#Best fitness Pop 1;0.657647
#Best fitness Pop 2;0.657647
#Std deviation Pop 1;0.0279206
#Std deviation Pop 2;0.0124583
#Sensitivity;0.239585
#Specificity;0.844871
#Accuracy;0.804627
#PPV;0.211268
#RMSE;0.328888
#RRSE;0.892078
#RAE;0.625963
#MSE;0.127888
#ADM;0.3917
#MDM;0.300447
#Size;0.142857
#OverLearn;0.85

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_b_cortolone_d is MF 0 AND ccr_cortisone_d is MF 2 THEN 2_Normal is MF 1
 IF ccr_llb_oh_etio_d is MF 1 AND ccr_pt_d is MF 1 THEN 3_Surpoid is MF 1 AND 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 IF ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 1_SousPoid is MF 1
 IF ccr_zob_dhf_d is MF 0 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 IF ccr_zob_dhe_d is MF 1 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (96.4546 , 182.201 , 456.59) ; ccr_pt_d (4.80924 , 155.016 , 560.12) ; ccr_llb_oh_etio_d (39.5234 , 60.0681 , 71.4819) ; ccr_cortisone_d (6.47982 , 19.9374 , 21.4902) ; ccr_b_cortolone_d (66.1025 , 180.132 , 242.33) ; ccr_zob_dhe_d (0.53391 , 5.86953 , 11.0435) ; ccr_zob_dhf_d (135.942 , 409.914 , 452.967) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.620925; 0.588155; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.628383; 0.58297; 0.264; 0.74822; 0.793573; 0.178187;0.354026
3; 0.629327; 0.581368; 0.264; 0.74822; 0.793573; 0.178187;0.354026
4; 0.629827; 0.571893; 0.232; 0.77085; 0.7982; 0.175542;0.341592
5; 0.630839; 0.572615; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
6; 0.634062; 0.576732; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.636921; 0.585023; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.637498; 0.586104; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.637498; 0.58425; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
10; 0.637498; 0.585626; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
11; 0.640095; 0.563169; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
12; 0.640095; 0.563501; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
13; 0.633863; 0.565366; 0.222183; 0.833502; 0.786889; 0.200377;0.339025
14; 0.636197; 0.563722; 0.224277; 0.833502; 0.787661; 0.201181;0.338971
15; 0.647266; 0.588222; 0.224277; 0.833502; 0.787661; 0.201181;0.338971
16; 0.647266; 0.58548; 0.224277; 0.833502; 0.787661; 0.201181;0.338971
17; 0.647266; 0.585562; 0.224277; 0.833502; 0.787661; 0.201181;0.338971
18; 0.647266; 0.585851; 0.224277; 0.833502; 0.787661; 0.201181;0.338971
19; 0.647266; 0.59201; 0.169501; 0.882567; 0.789974; 0.207886;0.330341
20; 0.647851; 0.591344; 0.216978; 0.845505; 0.797172; 0.201531;0.32949
21; 0.643214; 0.594279; 0.216978; 0.845505; 0.797172; 0.201531;0.32949
22; 0.651503; 0.602137; 0.216978; 0.845505; 0.797172; 0.201531;0.32949
23; 0.651503; 0.605072; 0.216978; 0.845505; 0.797172; 0.201531;0.32949
24; 0.652166; 0.606395; 0.202163; 0.862949; 0.798201; 0.20774;0.32878
25; 0.652166; 0.605886; 0.202163; 0.862949; 0.798201; 0.20774;0.32878
26; 0.652991; 0.607779; 0.211289; 0.856608; 0.798972; 0.207033;0.329444
27; 0.652991; 0.607313; 0.211289; 0.856608; 0.798972; 0.207033;0.329444
28; 0.653919; 0.607777; 0.228158; 0.84518; 0.796915; 0.208293;0.331666
29; 0.653944; 0.609831; 0.228158; 0.84518; 0.796915; 0.208293;0.331567
30; 0.653919; 0.612273; 0.228158; 0.84518; 0.796915; 0.208293;0.331567
