#Summary : 
#Best fitness Pop 1;0.65928
#Best fitness Pop 2;0.65928
#Std deviation Pop 1;0.024298
#Std deviation Pop 2;0.0136015
#Sensitivity;0.258686
#Specificity;0.832469
#Accuracy;0.804884
#PPV;0.21121
#RMSE;0.329663
#RRSE;0.861858
#RAE;0.574748
#MSE;0.128646
#ADM;0.375687
#MDM;0.300438
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_zob_dhf_d is MF 1 AND ccr_a_cortolone_d is MF 0 THEN 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 0 AND 2_Normal is MF 1
 IF ccr_zoa_dhf_d is MF 1 AND ccr_cortisone_d is MF 2 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 0
 IF ccr_thaldo_d is MF 0 THEN 4_Obese is MF 0 AND 2_Normal is MF 0 AND 1_SousPoid is MF 1
 IF ccr_ll_oxo_etio_d is MF 2 AND ccr_saad3a17b_d is MF 0 AND ccr_cortisone_d is MF 2 THEN 2_Normal is MF 1 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0
 IF ccr_pt_one_d is MF 0 AND ccr_the_d is MF 0 THEN 4_Obese is MF 1 AND 3_Surpoid is MF 0 AND 5_ExtremeObese is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 0  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_saad3a17b_d (59.9286 , 79.1286 , 85.9858) ; ccr_thaldo_d (0.446172 , 48.3762 , 53.8903) ; ccr_pt_one_d (23.4185 , 72.2546 , 85.3748) ; ccr_cortisone_d (6.99742 , 19.9374 , 28.219) ; ccr_the_d (187.283 , 949.937 , 1094.58) ; ccr_a_cortolone_d (413.829 , 467.679 , 521.528) ; ccr_ll_oxo_etio_d (55.484 , 69.5766 , 115.378) ; ccr_zoa_dhf_d (6.0583 , 33.5383 , 64.6476) ; ccr_zob_dhf_d (10.6981 , 214.22 , 366.862) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.620925; 0.559905; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.62093; 0.586336; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.629997; 0.575492; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
4; 0.631366; 0.575629; 0.390212; 0.616667; 0.74473; 0.169979;0.336539
5; 0.625816; 0.582321; 0.390212; 0.616667; 0.74473; 0.169979;0.336539
6; 0.625826; 0.583054; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.630683; 0.566721; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.635631; 0.588602; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.635631; 0.588326; 0.0590716; 0.964547; 0.813368; 0.17967;0.329736
10; 0.635896; 0.590938; 0.0590716; 0.964547; 0.813368; 0.17967;0.329736
11; 0.637009; 0.586663; 0.149896; 0.877834; 0.782776; 0.197522;0.331581
12; 0.641358; 0.588882; 0.21359; 0.830486; 0.771208; 0.202184;0.332073
13; 0.641358; 0.594354; 0.21359; 0.830486; 0.771208; 0.202184;0.332073
14; 0.641958; 0.595122; 0.21359; 0.830486; 0.771208; 0.202184;0.332073
15; 0.64238; 0.589761; 0.21359; 0.830486; 0.771208; 0.202184;0.332073
16; 0.645836; 0.57719; 0.242696; 0.801698; 0.760925; 0.201034;0.331864
17; 0.645836; 0.576937; 0.242696; 0.801698; 0.760925; 0.201034;0.331864
18; 0.645836; 0.578548; 0.215802; 0.83541; 0.775064; 0.203991;0.331085
19; 0.64803; 0.585954; 0.215802; 0.83541; 0.775064; 0.203991;0.331085
20; 0.64803; 0.587318; 0.215802; 0.83541; 0.775064; 0.203991;0.331085
21; 0.64803; 0.591183; 0.215802; 0.83541; 0.775064; 0.203991;0.331085
22; 0.64803; 0.597105; 0.215802; 0.83541; 0.775064; 0.203991;0.331085
23; 0.64803; 0.597714; 0.215802; 0.83541; 0.775064; 0.203991;0.331085
24; 0.64803; 0.601105; 0.215802; 0.83541; 0.775064; 0.203991;0.331085
25; 0.64803; 0.598735; 0.215802; 0.83541; 0.775064; 0.203991;0.331085
26; 0.64803; 0.603327; 0.218272; 0.834338; 0.775835; 0.204439;0.331098
27; 0.64862; 0.602504; 0.218884; 0.834274; 0.775578; 0.205233;0.330846
28; 0.64862; 0.60532; 0.220859; 0.832665; 0.775835; 0.20453;0.330873
29; 0.648714; 0.60614; 0.220859; 0.832665; 0.775835; 0.20453;0.330873
30; 0.648714; 0.611167; 0.220859; 0.832665; 0.775835; 0.20453;0.330873
31; 0.648714; 0.612261; 0.220859; 0.832665; 0.775835; 0.20453;0.330873
32; 0.648714; 0.612411; 0.220859; 0.832665; 0.775835; 0.20453;0.330873
33; 0.648739; 0.612349; 0.219872; 0.833738; 0.775835; 0.205246;0.330862
34; 0.648765; 0.612045; 0.219378; 0.834274; 0.775835; 0.205616;0.330807
