#Summary : 
#Best fitness Pop 1;0.668511
#Best fitness Pop 2;0.668351
#Std deviation Pop 1;0.0229128
#Std deviation Pop 2;0.0279326
#Sensitivity;0.393578
#Specificity;0.766056
#Accuracy;0.753728
#PPV;0.223191
#RMSE;0.367836
#RRSE;1.15638
#RAE;0.890388
#MSE;0.148382
#ADM;0.350971
#MDM;0.200233
#Size;0.0909091
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_etio_d is MF 0 AND ccr_thaldo_d is MF 0 AND ccr_zob_dhf_d is MF 0 AND ccr_zoa_dhf_d is MF 0 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 1
 IF ccr_zob_dhe_d is MF 2 AND ccr_b_cortol_d is MF 2 AND ccr_sa_dihydrotest_d is MF 2 THEN 1_SousPoid is MF 0 AND 4_Obese is MF 1
 IF ccr_zob_dhf_d is MF 1 THEN 5_ExtremeObese is MF 0 AND 1_SousPoid is MF 0
 IF ccr_the_d is MF 1 AND ccr_dha_d is MF 0 THEN 2_Normal is MF 0
 IF ccr_pt_one_d is MF 0 THEN 3_Surpoid is MF 0 AND 2_Normal is MF 1 AND 5_ExtremeObese is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (96.4546 , 242.224 , 1056.82) ; ccr_sa_dihydrotest_d (5.70541 , 10.4567 , 17.2005) ; ccr_dha_d (9.57414 , 46.4035 , 755.369) ; ccr_thaldo_d (7.65688 , 46.2554 , 47.1037) ; ccr_pt_one_d (27.063 , 35.0808 , 44.5565) ; ccr_b_cortol_d (150.405 , 235.726 , 363.707) ; ccr_the_d (187.283 , 423.969 , 923.639) ; ccr_zoa_dhf_d (7.61377 , 10.2062 , 29.3903) ; ccr_zob_dhe_d (4.89942 , 14.2772 , 14.7622) ; ccr_zob_dhf_d (120.287 , 202.478 , 362.948) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.620925; 0.559905; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.62093; 0.586336; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.629997; 0.575492; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
4; 0.631366; 0.575629; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
5; 0.625816; 0.582321; 0.390212; 0.616667; 0.74473; 0.169979;0.336539
6; 0.626782; 0.58363; 0.168839; 0.865786; 0.766581; 0.225432;0.365212
7; 0.626119; 0.585024; 0.323812; 0.688636; 0.772237; 0.173199;0.331538
8; 0.637241; 0.595354; 0.323812; 0.688636; 0.772237; 0.173199;0.331538
9; 0.637675; 0.595213; 0.174025; 0.864094; 0.775321; 0.205492;0.35843
10; 0.638011; 0.597348; 0.324168; 0.691347; 0.772236; 0.174074;0.332014
11; 0.638011; 0.596526; 0.324168; 0.691347; 0.772236; 0.174074;0.332014
12; 0.638536; 0.594861; 0.34078; 0.67711; 0.767609; 0.174208;0.33224
13; 0.639638; 0.601243; 0.214449; 0.823148; 0.790488; 0.1865;0.342737
14; 0.638107; 0.600974; 0.232827; 0.811501; 0.786889; 0.218857;0.346446
15; 0.638062; 0.596652; 0.232827; 0.811501; 0.786889; 0.218857;0.346446
16; 0.637655; 0.578097; 0.236778; 0.80882; 0.787661; 0.219064;0.345842
17; 0.638031; 0.577515; 0.236778; 0.80882; 0.787661; 0.219064;0.345842
18; 0.641144; 0.596083; 0.236778; 0.80882; 0.787661; 0.219064;0.345842
19; 0.641417; 0.599917; 0.236778; 0.80882; 0.787661; 0.219064;0.345842
20; 0.638121; 0.602067; 0.236778; 0.80882; 0.787661; 0.219064;0.345842
21; 0.641784; 0.600359; 0.236778; 0.80882; 0.787661; 0.219064;0.345842
22; 0.641784; 0.602881; 0.143022; 0.889008; 0.82108; 0.316364;0.328552
23; 0.642654; 0.605318; 0.143022; 0.889008; 0.82108; 0.316364;0.328552
24; 0.643121; 0.604956; 0.144227; 0.891241; 0.81928; 0.194553;0.328911
25; 0.646175; 0.605245; 0.111911; 0.931367; 0.825193; 0.327479;0.329852
26; 0.646856; 0.608768; 0.126726; 0.918499; 0.826735; 0.325307;0.329251
27; 0.648145; 0.60918; 0.127625; 0.922026; 0.825707; 0.20626;0.328927
28; 0.648145; 0.610545; 0.127625; 0.922026; 0.825707; 0.20626;0.328927
29; 0.648145; 0.610643; 0.127625; 0.922026; 0.825707; 0.20626;0.328927
30; 0.648145; 0.613253; 0.127625; 0.922026; 0.825707; 0.20626;0.328927
31; 0.648145; 0.616736; 0.127625; 0.922026; 0.825707; 0.20626;0.328927
32; 0.648145; 0.615487; 0.127625; 0.922026; 0.825707; 0.20626;0.328927
33; 0.648409; 0.616532; 0.129412; 0.921268; 0.825964; 0.205693;0.328995
