#Summary : 
#Best fitness Pop 1;0.666547
#Best fitness Pop 2;0.666547
#Std deviation Pop 1;0.025664
#Std deviation Pop 2;0.0190245
#Sensitivity;0.275477
#Specificity;0.849329
#Accuracy;0.812853
#PPV;0.240284
#RMSE;0.337303
#RRSE;0.950201
#RAE;0.655492
#MSE;0.131566
#ADM;0.463532
#MDM;0.227203
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_estriol_d is MF 0 AND ccr_ll_oxo_etio_d is MF 0 AND ccr_a_cortolone_d is MF 1 THEN 1_SousPoid is MF 0 AND 3_Surpoid is MF 1 AND 4_Obese is MF 0 AND 2_Normal is MF 0
 IF ccr_a_cortol_d is MF 2 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_zob_dhf_d is MF 0 AND ccr_a_cortol_d is MF 2 AND ccr_zoa_dhe_d is MF 0 THEN 2_Normal is MF 0 AND 4_Obese is MF 1 AND 1_SousPoid is MF 1
 IF ccr_etio_d is MF 1 AND ccr_sa_thb_d is MF 1 THEN 2_Normal is MF 1 AND 4_Obese is MF 1 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0
 IF ccr_thdoc_d is MF 2 THEN 4_Obese is MF 1 AND 1_SousPoid is MF 1 AND 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 0
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (113.604 , 173.627 , 1082.54) ; ccr_estriol_d (10.2001 , 12.7958 , 18.8524) ; ccr_sa_thb_d (0.0970792 , 13.3393 , 397.364) ; ccr_thdoc_d (0.972521 , 1.65254 , 2.06054) ; ccr_a_cortol_d (81.0838 , 193.979 , 224.268) ; ccr_a_cortolone_d (6.96892 , 144.583 , 569.394) ; ccr_ll_oxo_etio_d (17.9036 , 116.552 , 132.994) ; ccr_zoa_dhe_d (5.2198 , 8.6702 , 8.92267) ; ccr_zob_dhf_d (139.856 , 202.478 , 308.153) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.620925; 0.559905; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.62093; 0.586336; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.629997; 0.575492; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
4; 0.630169; 0.57734; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
5; 0.631366; 0.57591; 0.395812; 0.606218; 0.739332; 0.168822;0.332494
6; 0.63156; 0.577544; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.631655; 0.585692; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.63589; 0.587665; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.626119; 0.583996; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
10; 0.635997; 0.58968; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
11; 0.635997; 0.589117; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
12; 0.635997; 0.587792; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
13; 0.63651; 0.592254; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
14; 0.63651; 0.591623; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
15; 0.639883; 0.595158; 0.340919; 0.695778; 0.760411; 0.180322;0.344152
16; 0.639041; 0.581905; 0.161975; 0.875067; 0.824422; 0.116934;0.339699
17; 0.638896; 0.59072; 0.161481; 0.875603; 0.824422; 0.116995;0.339134
18; 0.642166; 0.582454; 0.162281; 0.875338; 0.824422; 0.316995;0.33932
19; 0.642882; 0.588336; 0.137027; 0.906708; 0.825707; 0.322072;0.332381
20; 0.64581; 0.601324; 0.137027; 0.906973; 0.825964; 0.322072;0.332096
21; 0.64581; 0.604226; 0.137027; 0.906973; 0.825964; 0.322072;0.332096
22; 0.64579; 0.595831; 0.144998; 0.903756; 0.829049; 0.323992;0.328621
23; 0.647977; 0.607272; 0.151911; 0.900539; 0.831105; 0.324644;0.328574
24; 0.648997; 0.59249; 0.151911; 0.900539; 0.831105; 0.324644;0.328574
25; 0.648997; 0.590191; 0.151911; 0.900539; 0.831105; 0.324644;0.328574
26; 0.648997; 0.593531; 0.151911; 0.900539; 0.831105; 0.324644;0.328574
27; 0.648997; 0.592918; 0.151911; 0.901075; 0.831362; 0.324898;0.328347
28; 0.648997; 0.594831; 0.151911; 0.901075; 0.831362; 0.324898;0.328347
29; 0.649093; 0.598891; 0.158331; 0.895177; 0.831877; 0.324125;0.32853
30; 0.649296; 0.601238; 0.158331; 0.895177; 0.831877; 0.324125;0.32853
31; 0.649296; 0.604269; 0.158331; 0.895177; 0.831877; 0.324125;0.32853
32; 0.649296; 0.603158; 0.158331; 0.895177; 0.831877; 0.324125;0.32853
33; 0.650142; 0.602823; 0.158519; 0.897587; 0.833419; 0.125391;0.327986
34; 0.650142; 0.603346; 0.158519; 0.897587; 0.833419; 0.125391;0.327986
