#Summary : 
#Best fitness Pop 1;0.664603
#Best fitness Pop 2;0.664182
#Std deviation Pop 1;0.0280251
#Std deviation Pop 2;0.0118225
#Sensitivity;0.265067
#Specificity;0.847636
#Accuracy;0.827763
#PPV;0.221081
#RMSE;0.331793
#RRSE;0.877199
#RAE;0.581039
#MSE;0.130776
#ADM;0.485214
#MDM;0.300898
#Size;0.1
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_sb_oh_f_d is MF 0 AND ccr_etio_d is MF 0 THEN 2_Normal is MF 0 AND 4_Obese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_thaldo_d is MF 0 AND ccr_cortisol_d is MF 1 AND ccr_dha_d is MF 2 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 0 AND 5_ExtremeObese is MF 1
 IF ccr_l8_oh_tha_d is MF 2 THEN 2_Normal is MF 1 AND 1_SousPoid is MF 0 AND 3_Surpoid is MF 0
 IF ccr_pt_d is MF 2 AND cr_l8_oh_f_d is MF 2 THEN 2_Normal is MF 0 AND 3_Surpoid is MF 1 AND 5_ExtremeObese is MF 1
 IF ccr_llb_oh_andro_d is MF 0 AND ccr_the_d is MF 0 THEN 4_Obese is MF 0 AND 5_ExtremeObese is MF 0 AND 3_Surpoid is MF 0 AND 2_Normal is MF 1
 ELSE : 1_SousPoid is 0  2_Normal is 1  3_Surpoid is 0  4_Obese is 1  5_ExtremeObese is 1  

Membership functions : 
ccr_etio_d (36.432 , 199.35 , 490.889) ; ccr_dha_d (313.416 , 690.918 , 1077.63) ; ccr_thaldo_d (7.23272 , 13.5951 , 23.3508) ; ccr_l8_oh_tha_d (70.1305 , 180.366 , 183.345) ; ccr_pt_d (191.43 , 200.533 , 350.74) ; ccr_cortisol_d (3.95893 , 41.0145 , 46.5043) ; cr_l8_oh_f_d (710.504 , 2492.89 , 3015.31) ; ccr_llb_oh_andro_d (84.1118 , 99.8373 , 185.454) ; ccr_the_d (95.2388 , 213.582 , 1331.26) ; ccr_sb_oh_f_d (4.96405 , 27.3767 , 39.8861) ; 1_SousPoid (0 , 1) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 0)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.620925; 0.588155; 0.235508; 0.793742; 0.805141; 0.280081;0.386671
2; 0.628383; 0.58297; 0.140741; 0.881501; 0.816452; 0.112648;0.374379
3; 0.629327; 0.581368; 0.264; 0.74822; 0.793573; 0.178187;0.354026
4; 0.629827; 0.571893; 0.232; 0.77085; 0.7982; 0.175542;0.341592
5; 0.630839; 0.572615; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
6; 0.634062; 0.576732; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.636921; 0.585023; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.637498; 0.586104; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.637498; 0.58425; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
10; 0.637498; 0.585626; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
11; 0.639871; 0.587634; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
12; 0.640095; 0.56403; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
13; 0.639539; 0.567901; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
14; 0.639894; 0.589834; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
15; 0.640038; 0.587278; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
16; 0.638912; 0.572666; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
17; 0.639332; 0.554992; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
18; 0.638912; 0.573624; 0.347437; 0.684721; 0.77635; 0.179408;0.332641
19; 0.639467; 0.590121; 0.128395; 0.926005; 0.831362; 0.130653;0.348535
20; 0.644366; 0.573422; 0.274607; 0.803627; 0.79563; 0.202278;0.366695
21; 0.651497; 0.580347; 0.281472; 0.801517; 0.799743; 0.202847;0.351994
22; 0.651388; 0.581647; 0.281472; 0.801517; 0.799743; 0.202847;0.351994
23; 0.651388; 0.581489; 0.283259; 0.801138; 0.800257; 0.20328;0.35176
24; 0.651388; 0.585084; 0.283259; 0.801138; 0.800257; 0.20328;0.35176
25; 0.651497; 0.588145; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
26; 0.651939; 0.588332; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
27; 0.652082; 0.586897; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
28; 0.652129; 0.588566; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
29; 0.652129; 0.588523; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
30; 0.652129; 0.595852; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
31; 0.652129; 0.596906; 0.276533; 0.808645; 0.800514; 0.20537;0.351853
32; 0.652236; 0.59593; 0.276533; 0.809024; 0.800771; 0.205522;0.351837
33; 0.652656; 0.596203; 0.277027; 0.809781; 0.801542; 0.205994;0.351519
34; 0.652656; 0.597226; 0.277027; 0.809781; 0.801542; 0.205994;0.351519
