#Summary : 
#Best fitness Pop 1;0.659958
#Best fitness Pop 2;0.661001
#Std deviation Pop 1;0.0217826
#Std deviation Pop 2;0.021973
#Sensitivity;0.38882
#Specificity;0.758367
#Accuracy;0.715938
#PPV;0.220471
#RMSE;0.384792
#RRSE;1.2099
#RAE;0.988858
#MSE;0.163354
#ADM;0.354991
#MDM;0.201779
#Size;0.125
#OverLearn;0.7

#Parameters : 
#Generations;200
#Population size;200
#Number of rules;5
#Number of var per rule;5
#Number of output variables;5
#Number of input sets;3
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;6
#Output vars bit code size;3
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.6
#Specificity weight;0.6
#Accuracy weight;0
#PPV weight;0
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0
#OverLearn weight;0

#Fuzzy system : 
 IF ccr_s_pt_d is MF 1 THEN 5_ExtremeObese is MF 1 AND 3_Surpoid is MF 1
 IF ccr_saad3a17b_d is MF 1 AND ccr_llb_oh_andro_d is MF 1 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 IF ccr_etio_d is MF 0 AND ccr_b_cortol_d is MF 0 THEN 2_Normal is MF 0 AND 5_ExtremeObese is MF 1 AND 1_SousPoid is MF 1
 IF ccr_zob_dhf_d is MF 0 THEN 3_Surpoid is MF 0 AND 1_SousPoid is MF 1 AND 2_Normal is MF 1
 IF ccr_zob_dhe_d is MF 1 AND ccr_ll_oxo_etio_d is MF 0 THEN 3_Surpoid is MF 1 AND 2_Normal is MF 0
 ELSE : 1_SousPoid is 1  2_Normal is 1  3_Surpoid is 1  4_Obese is 0  5_ExtremeObese is 0  

Membership functions : 
ccr_etio_d (96.4546 , 216.5 , 833.875) ; ccr_saad3a17b_d (8.49979 , 17.4141 , 38.6713) ; ccr_s_pt_d (49.1256 , 72.922 , 96.7184) ; ccr_b_cortol_d (65.0849 , 290.575 , 363.707) ; ccr_llb_oh_andro_d (31.6935 , 115.563 , 173.223) ; ccr_ll_oxo_etio_d (73.0998 , 76.623 , 127.122) ; ccr_zob_dhe_d (0.695595 , 11.3668 , 12.1753) ; ccr_zob_dhf_d (124.201 , 198.565 , 284.67) ; 1_SousPoid (0 , 0) ; 2_Normal (0 , 1) ; 3_Surpoid (0 , 1) ; 4_Obese (0 , 0) ; 5_ExtremeObese (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.620925; 0.559905; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
2; 0.62093; 0.586336; 0.177284; 0.835389; 0.813368; 0.107808;0.345846
3; 0.628167; 0.560674; 0.054321; 0.969437; 0.813625; 0.131737;0.345765
4; 0.630169; 0.577245; 0.054321; 0.969437; 0.813625; 0.131737;0.345765
5; 0.630159; 0.586924; 0.054321; 0.969437; 0.813625; 0.131737;0.345765
6; 0.629557; 0.581712; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
7; 0.635204; 0.596398; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
8; 0.637545; 0.584535; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
9; 0.637545; 0.58616; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
10; 0.638305; 0.586061; 0.112099; 0.925469; 0.822622; 0.124044;0.350087
11; 0.640134; 0.587312; 0.177422; 0.861169; 0.797686; 0.190849;0.338197
12; 0.642292; 0.583124; 0.177422; 0.861169; 0.797686; 0.190849;0.338197
13; 0.63822; 0.588599; 0.177422; 0.861169; 0.797686; 0.190849;0.338197
14; 0.639319; 0.589686; 0.177422; 0.861169; 0.797686; 0.190849;0.338197
15; 0.635469; 0.58312; 0.177422; 0.861169; 0.797686; 0.190849;0.338197
16; 0.640167; 0.585127; 0.177422; 0.861169; 0.797686; 0.190849;0.338197
17; 0.640167; 0.584925; 0.177422; 0.861169; 0.797686; 0.190849;0.338197
18; 0.631194; 0.566782; 0.177422; 0.861169; 0.797686; 0.190849;0.338197
19; 0.636585; 0.591347; 0.177422; 0.861169; 0.797686; 0.190849;0.338197
20; 0.637477; 0.592648; 0.25039; 0.803145; 0.779177; 0.194513;0.334967
21; 0.632972; 0.583674; 0.25039; 0.803145; 0.779177; 0.194513;0.334967
22; 0.636446; 0.595713; 0.25039; 0.803145; 0.779177; 0.194513;0.334967
23; 0.642432; 0.594372; 0.25039; 0.803145; 0.779177; 0.194513;0.334967
24; 0.64326; 0.599138; 0.25039; 0.803145; 0.779177; 0.194513;0.334967
25; 0.643765; 0.595482; 0.25039; 0.803145; 0.779177; 0.194513;0.334967
26; 0.63533; 0.588196; 0.25039; 0.803145; 0.779177; 0.194513;0.334967
27; 0.635345; 0.589008; 0.228375; 0.830029; 0.784833; 0.199997;0.331753
28; 0.649824; 0.606411; 0.228375; 0.830029; 0.784833; 0.199997;0.33172
29; 0.649824; 0.606975; 0.228563; 0.829871; 0.78509; 0.199977;0.331212
30; 0.649829; 0.608051; 0.228563; 0.829871; 0.78509; 0.199977;0.331212
31; 0.649832; 0.613608; 0.190005; 0.871243; 0.79563; 0.210324;0.331792
32; 0.650172; 0.611914; 0.190005; 0.871243; 0.79563; 0.210324;0.331792
33; 0.650172; 0.612255; 0.190005; 0.871243; 0.79563; 0.210324;0.331792
